bouchard_family,bouchard_subfamily,bouchard_authority,bouchard_superfamily,ncbi_taxid,ncbi_primary_name,ncbi_synonyms,match_status,notes
Acanthocnemidae,,"Crowson, 1964",Cleroidea,186091,Acanthocnemidae,,exact,
Ademosynidae,,"Ponomarenko, 1968",Permosynoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Aderidae,,"Csiki, 1909",Tenebrionoidea,219441,Aderidae,,exact,
Agapythidae,,"Sen Gupta & Crowson, 1969",Cucujoidea,1605722,Agapythidae,,exact,
Agyrtidae,,"C.G. Thomson, 1859",Staphylinoidea,66531,Agyrtidae,Agyrtinae|Necrophilinae|Pterolomatinae,exact,
Akalyptoischiidae,,"Lord, Hartley, Lawrence, McHugh, Whiting & K.B. Miller, 2010",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Alexiidae,,"Imhoff, 1856",Coccinelloidea,196995,Alexiidae,Sphaerosoma Leach 1819,exact,
Alloioscarabaeidae,,"Bai, Ren & X.-K. Yang in Bai et al., 2012",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Amphizoidae,,"J.L. LeConte, 1853",,107773,Amphizoidae,,exact,
Anamorphidae,,"Strohecker, 1953",Coccinelloidea,2939017,Anamorphidae,,exact,
Anthicidae,,"Latreille, 1819",Tenebrionoidea,219442,Anthicidae,,exact,
Anthribidae,,"Billberg, 1820",Curculionoidea,110015,Anthribidae,,exact,
Apophisandridae,,"Molino-Olmedo, 2017",Nitiduloidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Apotomouridae,,"Bao et al., 2018",Tenebrionoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Archeocrypticidae,,"Kaszab, 1964",Tenebrionoidea,219426,Archeocrypticidae,,exact,
Artematopodidae,,"Lacordaire, 1857",Elateroidea,195313,Artematopodidae,,exact,
Asiocoleidae,,"Rohdendorf, 1961",Asiocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Aspidytidae,,"Ribera et al., 2002",,183863,Aspidytidae,,exact,
Attelabidae,,"Billberg, 1820",Curculionoidea,122737,Attelabidae,,exact,
Belidae,,"Schönherr, 1826",Curculionoidea,122753,Belidae,,exact,
Belohinidae,,"Paulian, 1959",Scarabaeoidea,614208,Belohinidae,,exact,
Berendtimiridae,,"Winkler, 1987",Elateroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Biphyllidae,,"J.L. LeConte, 1861",Cleroidea,196969,Biphyllidae,Biphylidae,exact,
Boganiidae,,"Sen Gupta & Crowson, 1966",Erotyloidea,196979,Boganiidae,,exact,
Bolboceratidae,,"Mulsant, 1842",Scarabaeoidea,110049,Bolboceratidae,,exact,
Boleopsidae,,"Kirejtshuk & Nel, 2013",Scirtoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Boridae,,"C.G. Thomson, 1859",Tenebrionoidea,295956,Boridae,,exact,
Bostrichidae,,"Latreille, 1802",Bostrichoidea,92690,Bostrichidae,Bostrychidae,exact,
Bothrideridae,,"Erichson, 1845",Coccinelloidea,196993,Bothrideridae,,exact,
Brachypsectridae,,"G.H. Horn, 1881",Elateroidea,195311,Brachypsectridae,,exact,
Brentidae,,"Billberg, 1820",Curculionoidea,122754,Brentidae,,exact,
Buprestidae,,"Leach, 1815",Buprestoidea,50527,Buprestidae,,exact,
Byrrhidae,,"Latreille, 1804",Byrrhoidea,174914,Byrrhidae,,exact,
Byturidae,,"Gistel, 1848",Cleroidea,153015,Byturidae,,exact,
Callirhipidae,,"Emden, 1924",Dryopoidea,186986,Callirhipidae,,exact,
Cantharidae,,"Imhoff, 1856",Elateroidea,41097,Cantharidae,Telephoridae,exact,
Carabidae,,"Latreille, 1802",,41073,Carabidae,,exact,
Caridae,,"Thompson, 1992",Curculionoidea,1125798,Caridae,Carinae,exact,
Catiniidae,,"Ponomarenko, 1968",Schizocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Cavognathidae,,"Sen Gupta & Crowson, 1966",Cucujoidea,196988,Cavognathidae,,exact,
Cerambycidae,,"Latreille, 1802",Chrysomeloidea,34667,Cerambycidae,,exact,
Cerasommatidiidae,,"Brèthes, 1925",Coccinelloidea,3026514,Cerasommatidiidae,,exact,
Cerophytidae,,"Latreille, 1834",Elateroidea,195306,Cerophytidae,,exact,
Cerylonidae,,"Billberg, 1820",Coccinelloidea,196994,Cerylonidae,,exact,
Chaetosomatidae,,"Crowson, 1952",Cleroidea,2571939,Chaetosomatidae,,exact,
Chalcodryidae,,"Watt, 1974",Tenebrionoidea,219435,Chalcodryidae,,exact,
Chelonariidae,,"Blanchard, 1845",Dryopoidea,186987,Chelonariidae,,exact,
Chrysomelidae,,"Latreille, 1802",Chrysomeloidea,27439,Chrysomelidae,,exact,
Cicindelidae,,"Latreille, 1802",,41064,Carabidae,,conflict,NCBI lumps Cicindelidae as Cicindelinae within Carabidae; Bouchard recognizes as separate family
Ciidae,,"Leach, 1819",Tenebrionoidea,219428,Ciidae,,exact,
Cimberididae,,"Gozis, 1882",Curculionoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Clambidae,,"Fischer von Waldheim, 1821",Clamboidea,63910,Clambidae,,exact,
Cleridae,,"Latreille, 1802",Cleroidea,186087,Cleridae,,exact,
Cneoglossidae,,"Champion, 1897",Dryopoidea,186988,Cneoglossidae,,exact,
Coccinellidae,,"Latreille, 1807",Coccinelloidea,7080,Coccinellidae,,exact,
Coleopsidae,,"Kirejtshuk & Nel, 2016",Coleopsoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Colonidae,,"G.H. Horn, 1880",Staphylinoidea,111502,Leiodidae,,conflict,NCBI treats Colonidae as Coloninae within Leiodidae; Bouchard separates
Colymbotethidae,,"Ponomarenko, 1994",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Coprinisphaeridae,,"Genise, 2004",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Coptoclavidae,,"Ponomarenko, 1961",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Corylophidae,,"J.L. LeConte, 1852",Coccinelloidea,196998,Corylophidae,,exact,
Cretohisteridae,,"Zhou et al., 2018",Histeroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Cretophengodidae,,"Y.-D. Li et al., 2021",Elateroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Crowsoniellidae,,"Iablokoff-Khnzorian, 1983",Cupedoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Cryptophagidae,,"W. Kirby, 1826",Cucujoidea,196989,Cryptophagidae,,exact,
Cucujidae,,"Latreille, 1802",Cucujoidea,41110,Cucujidae,,exact,
Cupedidae,,"Laporte, 1838",Cupedoidea,50548,Cupedidae,,exact,
Curculionidae,,"Latreille, 1802",Curculionoidea,7042,Curculionidae,,exact,
Cyclaxyridae,,"Gimmel et al., 2009",Cucujoidea,295929,Cyclaxyridae,,exact,
Dascillidae,,"Guérin-Méneville, 1843",Dascilloidea,110058,Dascillidae,,exact,
Decliniidae,,"Nikitsky et al., 1994",Scirtoidea,110056,Decliniidae,,exact,
Dermestidae,,"Latreille, 1804",Bostrichoidea,41094,Dermestidae,,exact,
Derodontidae,,"J.L. LeConte, 1861",Clamboidea,174905,Derodontidae,,exact,
Diphyllostomatidae,,"Holloway, 1972",Scarabaeoidea,110047,Diphyllostomatidae,,exact,
Discolomatidae,,"G.H. Horn, 1878",Coccinelloidea,196996,Discolomatidae,Discolomidae,exact,
Disteniidae,,"J. Thomson, 1861",Chrysomeloidea,51011,Cerambycidae,,conflict,NCBI treats Disteniidae as Disteniinae within Cerambycidae; Bouchard separates
Dryopidae,,"Billberg, 1820",Dryopoidea,186976,Dryopidae,,exact,
Dytiscidae,,"Leach, 1815",,50515,Dytiscidae,,exact,
Elateridae,,"Leach, 1815",Elateroidea,30009,Elateridae,,exact,
Elmidae,,"Curtis, 1830",Dryopoidea,186980,Elmidae,,exact,
Elodophthalmidae,,"Kirejtshuk & Azar, 2008",Scirtoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Endomychidae,,"Leach, 1815",Coccinelloidea,196997,Endomychidae,,exact,
Epimetopidae,,"Zaitzev, 1908",Hydrophiloidea,290654,Epimetopidae,,exact,
Erotylidae,,"Latreille, 1802",Erotyloidea,196992,Erotylidae,,exact,
Eucinetidae,,"Lacordaire, 1857",Clamboidea,110057,Eucinetidae,,exact,
Eucnemidae,,"Eschscholtz, 1829",Elateroidea,195229,Eucnemidae,Melasidae,exact,
Eulichadidae,,"Crowson, 1973",Dryopoidea,186985,Eulichadidae,,exact,
Eupsilobiidae,,"Casey, 1895",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Euxestidae,,"Grouvelle, 1908",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Georissidae,,"Laporte, 1840",Hydrophiloidea,290634,Georissidae,,exact,
Geotrupidae,,"Latreille, 1802",Scarabaeoidea,110052,Geotrupidae,,exact,
Glaphyridae,,"W.S. MacLeay, 1819",Scarabaeoidea,110051,Glaphyridae,,exact,
Glaresidae,,"Prudhomme de Borre, 1886",Scarabaeoidea,110045,Glaresidae,,exact,
Gyrinidae,,"Latreille, 1810",,107778,Gyrinidae,,exact,
Haliplidae,,"Aubé, 1836",,107851,Haliplidae,,exact,
Helophoridae,,"Leach, 1815",Hydrophiloidea,154134,Helophoridae,,exact,
Helotidae,,"Chapuis, 1876",Nitiduloidea,196980,Helotidae,,exact,
Heteroceridae,,"W.S. MacLeay, 1825",Dryopoidea,186979,Heteroceridae,,exact,
Histeridae,,"Gyllenhal, 1808",Histeroidea,110043,Histeridae,,exact,
Hobartiidae,,"Sen Gupta & Crowson, 1966",Cucujoidea,196987,Hobartiidae,,exact,
Hybosoridae,,"Erichson, 1847",Scarabaeoidea,110053,Hybosoridae,,exact,
Hydraenidae,,"Mulsant, 1844",Staphylinoidea,110044,Hydraenidae,,exact,
Hydrochidae,,"C.G. Thomson, 1859",Hydrophiloidea,154137,Hydrochidae,,exact,
Hydrophilidae,,"Latreille, 1802",Hydrophiloidea,41102,Hydrophilidae,,exact,
Hydroscaphidae,,"J.L. LeConte, 1874",Sphaeriusoidea,63908,Hydroscaphidae,,exact,
Hygrobiidae,,"Régimbart, 1879",,107878,Hygrobiidae,,exact,
Iberobaeniidae,,"Bocák et al., 2016",Elateroidea,1857315,Iberobaeniidae,,exact,
Ischaliidae,,"Blair, 1920",Tenebrionoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Jacobsoniidae,,"Heller, 1926",Staphylinoidea,186079,Jacobsoniidae,,exact,
Jurasaidae,,"Rosa et al., 2020",Elateroidea,2707054,Jurasaidae,,exact,
Kateretidae,,"W. Kirby, 1837",Nitiduloidea,295809,Kateretidae,Brachypteridae,exact,
Labradorocoleidae,,"Ponomarenko, 1969",Permocupedoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Laemophloeidae,,"Ganglbauer, 1899",Cucujoidea,196984,Laemophloeidae,,exact,
Lagrioididae,,"M. Abdullah & A. Abdullah, 1968",Tenebrionoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Lamingtoniidae,,"Sen Gupta & Crowson, 1969",Cucujoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Lampyridae,,"Rafinesque, 1815",Elateroidea,7049,Lampyridae,,exact,
Latridiidae,,"Erichson, 1842",Coccinelloidea,196999,Latridiidae,Lathridiidae,exact,
Leiodidae,,"Fleming, 1821",Staphylinoidea,66535,Leiodidae,,exact,
Lepiceridae,,"Hinton, 1936",Lepiceroidea,110034,Lepiceridae,,exact,
Liadytidae,,"Ponomarenko, 1977",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Limnichidae,,"Erichson, 1846",Dryopoidea,186978,Limnichidae,,exact,
Lophocateridae,,"Crowson, 1964",Cleroidea,2571920,Lophocateridae,,exact,
Lucanidae,,"Latreille, 1804",Scarabaeoidea,41105,Lucanidae,,exact,
Lutrochidae,,"Kasap & Crowson, 1975",Dryopoidea,186977,Lutrochidae,,exact,
Lycidae,,"Laporte, 1838",Elateroidea,71195,Lycidae,,exact,
Lymexylidae,,"Fleming, 1821",Lymexyloidea,295945,Lymexylidae,,exact,
Mastigocoleidae,,"Tihelka et al., 2022",Dryopoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Mauroniscidae,,"Majer, 1995",Cleroidea,1104670,Mauroniscidae,,exact,
Megalopodidae,,"Latreille, 1802",Chrysomeloidea,7028,Chrysomelidae,,conflict,NCBI treats Megalopodidae as Megalopodinae within Chrysomelidae; Bouchard separates
Melandryidae,,"Leach, 1815",Tenebrionoidea,219420,Melandryidae,,exact,
Meloidae,,"Gyllenhal, 1810",Tenebrionoidea,34672,Meloidae,,exact,
Melyridae,,"Leach, 1815",Cleroidea,186093,Melyridae,,exact,
Meruidae,,"Spangler & Steiner, 2005",,535379,Meruidae,,exact,
Mesocinetidae,,"Kirejtshuk & Ponomarenko, 2010",Clamboidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Mesophyletidae,,"Poinar, 2006",Curculionoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Micromalthidae,,"Barber, 1913",Cupedoidea,110040,Micromalthidae,,exact,
Monotomidae,,"Laporte, 1840",Nitiduloidea,196978,Monotomidae,Rhizophagidae,exact,
Mordellidae,,"Latreille, 1802",Tenebrionoidea,219430,Mordellidae,,exact,
Murmidiidae,,"Jacquelin du Val, 1858",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Mycetaeidae,,"Jacquelin du Val, 1857",Coccinelloidea,2939021,Mycetaeidae,,exact,
Mycetophagidae,,"Leach, 1815",Tenebrionoidea,219427,Mycetophagidae,,exact,
Mycteridae,,"Perty, 1840",Tenebrionoidea,219443,Mycteridae,,exact,
Myraboliidae,,"Lawrence & Britton, 1991",Cucujoidea,1605791,Myraboliidae,,exact,
Mysteriomorphidae,,"Alekseev & Ellenberger, 2019",Elateroidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Nemonychidae,,"Bedel, 1882",Curculionoidea,27443,Nemonychidae,,exact,
Nitidulidae,,"Latreille, 1802",Nitiduloidea,116151,Nitidulidae,,exact,
Nosodendridae,,"Erichson, 1846",Nosodendroidea,186078,Nosodendridae,,exact,
Noteridae,,"C.G. Thomson, 1860",,63901,Noteridae,,exact,
Oborocoleidae,,"Kukalová, 1969",Permocupedoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Ochodaeidae,,"Streubel, 1846",Scarabaeoidea,110055,Ochodaeidae,,exact,
Oedemeridae,,"Latreille, 1810",Tenebrionoidea,116144,Oedemeridae,,exact,
Omethidae,,"J.L. LeConte, 1861",Elateroidea,333885,Omethidae,,exact,
Ommatidae,,"Sharp & Muir, 1912",Cupedoidea,110038,Ommatidae,,exact,
Orsodacnidae,,"C.G. Thomson, 1859",Chrysomeloidea,131683,Orsodacnidae,Orsodacninae,exact,
Oxypeltidae,,"Lacordaire, 1868",Chrysomeloidea,51011,Cerambycidae,,conflict,NCBI treats Oxypeltidae as Oxypeltinae within Cerambycidae; Bouchard separates
Pallichnidae,,"Genise, 2004",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Parahygrobiidae,,"Ponomarenko, 1977",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Passalidae,,"Leach, 1815",Scarabaeoidea,110046,Passalidae,,exact,
Passalopalpidae,,"Boucher & Bai, 2016",Scarabaeoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Passandridae,,"Blanchard, 1845",Cucujoidea,196983,Passandridae,,exact,
Peltidae,,"W. Kirby, 1837",Cleroidea,2571919,Peltidae,,exact,
Permocupedidae,,"Martynov, 1933",Permocupedoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Permosynidae,,"Tillyard, 1924",Permosynoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Phalacridae,,"Leach, 1815",Cucujoidea,196986,Phalacridae,,exact,
Phengodidae,,"J.L. LeConte, 1861",Elateroidea,94777,Phengodidae,,exact,
Phloeostichidae,,"Reitter, 1911",Cucujoidea,196981,Phloeostichidae,,exact,
Phloiophilidae,,"Kiesenwetter, 1863",Cleroidea,186088,Phloiophilidae,,exact,
Phoroschizidae,,"Bouchard & Bousquet, 2020",Schizocoleoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Phycosecidae,,"Crowson, 1952",Cleroidea,186092,Phycosecidae,,exact,
Pleocomidae,,"J.L. LeConte, 1861",Scarabaeoidea,110050,Pleocomidae,,exact,
Ponomarenkiumidae,,"Lawrence & Bouchard, 2022",,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Priasilphidae,,"Crowson, 1973",Cucujoidea,1702276,Priasilphidae,,exact,
Prionoceridae,,"Lacordaire, 1857",Cleroidea,365805,Prionoceridae,Prionocerinae,exact,
Promecheilidae,,"Lacordaire, 1859",Tenebrionoidea,1272939,Promecheilidae,,exact,
Prostomidae,,"C.G. Thomson, 1859",Tenebrionoidea,219437,Prostomidae,,exact,
Protelmidae,,"Jeannel, 1950",Dryopoidea,2211258,Protelmidae,,exact,
Protocucujidae,,"Crowson, 1954",Nitiduloidea,196974,Protocucujidae,,exact,
Protopeltidae,,"Crowson, 1966",Cleroidea,2571918,Protopeltidae,,exact,
Psephenidae,,"Lacordaire, 1854",Dryopoidea,186983,Psephenidae,,exact,
Pterogeniidae,,"Crowson, 1953",Tenebrionoidea,219425,Pterogeniidae,,exact,
Ptiliidae,,"Erichson, 1845",Staphylinoidea,75545,Ptiliidae,,exact,
Ptilodactylidae,,"Laporte, 1838",Dryopoidea,186984,Ptilodactylidae,,exact,
Ptinidae,,"Latreille, 1802",Bostrichoidea,441274,Ptinidae,,exact,
Pyrochroidae,,"Latreille, 1806",Tenebrionoidea,55098,Pyrochroidae,,exact,
Pythidae,,"Solier, 1834",Tenebrionoidea,295957,Pythidae,,exact,
Rentoniidae,,"Crowson, 1966",Cleroidea,2571912,Rentoniidae,,exact,
Rhadalidae,,"J.L. LeConte, 1861",Cleroidea,2571938,Rhadalidae,,exact,
Rhagophthalmidae,,"E. Olivier, 1907",Elateroidea,71489,Rhagophthalmidae,,exact,
Rhinorhipidae,,"Lawrence, 1988",Rhinorhipoidea,195314,Rhinorhipidae,,exact,
Rhipiceridae,,"Latreille, 1834",Dascilloidea,110059,Rhipiceridae,,exact,
Rhombocoleidae,,"Rohdendorf, 1961",Rhombocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Ripiphoridae,,"Laporte, 1840",Tenebrionoidea,50533,Ripiphoridae,Rhipiphoridae,exact,
Salpingidae,,"Leach, 1815",Tenebrionoidea,295958,Salpingidae,Salphingidae,exact,
Scarabaeidae,,"Latreille, 1802",Scarabaeoidea,7055,Scarabaeidae,,exact,
Schizocoleidae,,"Rohdendorf, 1961",Schizocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Schizopodidae,,"J.L. LeConte, 1859",Buprestoidea,1580803,Schizopodidae,,exact,
Scirtidae,,"Fleming, 1821",Scirtoidea,110010,Scirtidae,,exact,
Scraptiidae,,"Gistel, 1848",Tenebrionoidea,219440,Scraptiidae,,exact,
Septiventeridae,,"Bai et al., 2012",Scarabaeoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Silvanidae,,"W. Kirby, 1837",Cucujoidea,196982,Silvanidae,,exact,
Sinopyrophoridae,,"Bi & X.-Y. Li, 2019",Elateroidea,7050,Elateridae,,conflict,NCBI treats Sinopyrophoridae as Sinopyrophorinae within Elateridae; Bouchard separates
Smicripidae,,"G.H. Horn, 1880",Nitiduloidea,196977,Smicripidae,,exact,
Spercheidae,,"Erichson, 1837",Hydrophiloidea,290639,Spercheidae,,exact,
Sphaeritidae,,"Shuckard, 1839",Histeroidea,110041,Sphaeritidae,,exact,
Sphaeriusidae,,"Erichson, 1845",Sphaeriusoidea,110033,Sphaeriusidae,Microsporidae,exact,
Sphindidae,,"Jacquelin du Val, 1860",Nitiduloidea,196975,Sphindidae,Aspidiphoridae,exact,
Staphylinidae,,"Latreille, 1802",Staphylinoidea,29026,Staphylinidae,,exact,
Stenotrachelidae,,"C.G. Thomson, 1859",Tenebrionoidea,219439,Stenotrachelidae,,exact,
Synchroidae,,"Lacordaire, 1859",Tenebrionoidea,219438,Synchroidae,,exact,
Synteliidae,,"Lewis, 1882",Histeroidea,110042,Synteliidae,,exact,
Tasmosalpingidae,,"Lawrence & Britton, 1991",Cucujoidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Tenebrionidae,,"Latreille, 1802",Tenebrionoidea,7065,Tenebrionidae,Lagriidae,exact,
Teredidae,,"Seidlitz, 1888",Coccinelloidea,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Tetrameropsidae,,"Kirejtshuk & Azar, 2008",Coccinelloidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Tetratomidae,,"Billberg, 1820",Tenebrionoidea,219429,Tetratomidae,,exact,
Thanerocleridae,,"Chapin, 1924",Cleroidea,2571940,Thanerocleridae,,exact,
Throscidae,,"Laporte, 1840",Elateroidea,195305,Throscidae,Trixagidae,exact,
Thymalidae,,"Léveillé, 1888",Cleroidea,2571931,Thymalidae,,exact,
Torridincolidae,,"Steffan, 1964",Sphaeriusoidea,110035,Torridincolidae,,exact,
Trachypachidae,,"C.G. Thomson, 1857",,60838,Trachypachidae,Trachypaninae,exact,
Triadocupedidae,,"Ponomarenko, 1966",Cupedoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Triaplidae,,"Ponomarenko, 1977",,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Tricoleidae,,"Ponomarenko, 1969",Asiocoleoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Trictenotomidae,,"Blanchard, 1845",Tenebrionoidea,432918,Trictenotomidae,,exact,
Tritarsusidae,,"Hong, 2002",,,,,missing,Not found in NCBI Coleoptera taxonomy; may be recently elevated or circumscription differs
Trogidae,,"W.S. MacLeay, 1819",Scarabaeoidea,110048,Trogidae,,exact,
Trogossitidae,,"Latreille, 1802",Cleroidea,186089,Trogossitidae,Trogositidae,exact,
Tshekardocoleidae,,"Rohdendorf, 1944",Permocupedoidea,,,,missing,Likely fossil/ichnotaxon family not yet in NCBI
Ulodidae,,"Pascoe, 1869",Tenebrionoidea,219433,Ulodidae,,exact,
Vesperidae,,"Mulsant, 1839",Chrysomeloidea,584324,Vesperidae,,exact,
Zopheridae,,"Solier, 1834",Tenebrionoidea,219432,Zopheridae,,exact,
Agyrtidae,Agyrtinae,"C.G. Thomson, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Agyrtidae,Necrophilinae,"Newton, 1997",,,,,missing,Not found in NCBI Coleoptera subfamilies
Agyrtidae,Pterolomatinae,"C.G. Thomson, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Anthicinae,"Latreille, 1819",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Copobaeninae,"M. Abdullah, 1969",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Eurygeniinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Lemodinae,"E.G. Matthews, 1987",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Macratriinae,"J.L. LeConte, 1862",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Notoxinae,"Stephens, 1829",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Steropinae,"Jacquelin du Val, 1863",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthicidae,Tomoderinae,"Bonadona, 1961",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthribidae,Anthribinae,"Billberg, 1820",,166894,Anthribinae,,exact,
Anthribidae,Choraginae,"W. Kirby, 1819",,251757,Choraginae,,exact,
Anthribidae,Ulyaninae,"Zherikhin, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Anthribidae,Urodontinae,"C.G. Thomson, 1859",,123509,Urodontinae,,exact,
Artematopodidae,Allopogoniinae,"Crowson, 1973",,,,,missing,Not found in NCBI Coleoptera subfamilies
Artematopodidae,Artematopodinae,"Lacordaire, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Artematopodidae,Electribiinae,"Crowson, 1975",,,,,missing,Not found in NCBI Coleoptera subfamilies
Attelabidae,Apoderinae,"Jekel, 1860",,701798,Apoderinae,,exact,
Attelabidae,Attelabinae,"Billberg, 1820",,123510,Attelabinae,,exact,
Attelabidae,Pterocolinae,"Lacordaire, 1865",,,,,missing,Not found in NCBI Coleoptera subfamilies
Attelabidae,Rhynchitinae,"Gistel, 1848",,123511,Rhynchitinae,Rhynchitidae,exact,
Attelabidae,Sayrevilleinae,"Legalov, 2003",,,,,missing,Not found in NCBI Coleoptera subfamilies
Belidae,Belinae,"Schönherr, 1826",,123512,Belinae,,exact,
Belidae,Montsecbelinae,"Legalov, 2016",,,,,missing,Not found in NCBI Coleoptera subfamilies
Belidae,Oxycoryninae,"Schönherr, 1840",,123513,Oxycoryninae,,exact,
Berendtimiridae,Berendtimirinae,"Winkler, 1987",,,,,missing,Not found in NCBI Coleoptera subfamilies
Berendtimiridae,Retromalisinae,"Fanti et al., 2023",,,,,missing,Not found in NCBI Coleoptera subfamilies
Boganiidae,Boganiinae,"Sen Gupta & Crowson, 1966",,,,,missing,Not found in NCBI Coleoptera subfamilies
