bouchard_family,bouchard_subfamily,bouchard_authority,bouchard_superfamily,ncbi_taxid,ncbi_primary_name,ncbi_synonyms,match_status,notes
Boganiidae,Paracucujinae,"Endrödy-Younga & Crowson, 1986",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bolboceratidae,Athyreinae,"Lynch Arribálzaga, 1878",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bolboceratidae,Bolboceratinae,"Mulsant, 1842",,,,,missing,Not found in NCBI Coleoptera subfamilies
Boridae,Borinae,"C.G. Thomson, 1859",,,,,missing,Not found in NCBI Coleoptera subfamilies
Boridae,Synercticinae,"Lawrence & Pollock, 1994",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bostrichidae,Alitrepaninae,"Peng, Jiang, Engel & Wang, 2022",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bostrichidae,Bostrichinae,"Latreille, 1802",,297228,Bostrichinae,,exact,
Bostrichidae,Dinoderinae,"C.G. Thomson, 1863",,297230,Dinoderinae,,exact,
Bostrichidae,Dysidinae,"Lesne, 1894",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bostrichidae,Endecatominae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Bostrichidae,Euderiinae,"Lesne, 1934",,297231,Euderiinae,,exact,
Bostrichidae,Lyctinae,"Billberg, 1820",,295665,Lyctinae,Lyctidae,exact,
Bostrichidae,Polycaoninae,"Lesne, 1896",,297227,Polycaoninae,,exact,
Bostrichidae,Psoinae,"Blanchard, 1851",,,,,missing,Not found in NCBI Coleoptera subfamilies
Brentidae,Apioninae,"Schönherr, 1823",,,,,missing,Not found in NCBI Coleoptera subfamilies
Brentidae,Brentinae,"Billberg, 1820",,123514,Brentinae,,exact,
Brentidae,Eurhynchinae,"Lacordaire, 1863",,638844,Eurhynchinae,Eurhynchidae,exact,
Brentidae,Ithycerinae,"Schönherr, 1823",,,,,missing,Not found in NCBI Coleoptera subfamilies
Brentidae,Microcerinae,"Lacordaire, 1863",,298252,Microcerinae,,exact,
Brentidae,Nanophyinae,"Gistel, 1848",,298317,Nanophyinae,Nanophyidae,exact,
Buprestidae,Agrilinae,"Laporte, 1835",,261156,Agrilinae,Trachyinae,exact,
Buprestidae,Buprestinae,"Leach, 1815",,261155,Buprestinae,,exact,
Buprestidae,Chrysochroinae,"Laporte, 1835",,1205684,Chrysochroinae,,exact,
Buprestidae,Galbellinae,"Reitter, 1911",,261153,Galbellinae,,exact,
Buprestidae,Julodinae,"Lacordaire, 1857",,261151,Julodinae,,exact,
Buprestidae,Parathyreinae,"Alexeev, 1994",,,,,missing,Not found in NCBI Coleoptera subfamilies
Buprestidae,Polycestinae,"Lacordaire, 1857",,261152,Polycestinae,,exact,
Byrrhidae,Amphicyrtinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Byrrhidae,Byrrhinae,"Latreille, 1804",,,,,missing,Not found in NCBI Coleoptera subfamilies
Byrrhidae,Lidryopinae,"Kirejtshuk & Nel, 2016",,,,,missing,Not found in NCBI Coleoptera subfamilies
Byrrhidae,Syncalyptinae,"Mulsant & Rey, 1869",,,,,missing,Not found in NCBI Coleoptera subfamilies
Byturidae,Byturinae,"Gistel, 1848",,,,,missing,Not found in NCBI Coleoptera subfamilies
Byturidae,Platydascillinae,"Pic, 1914",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cantharidae,Cantharinae,"Imhoff, 1856",,433502,Cantharinae,,exact,
Cantharidae,Chauliognathinae,"J.L. LeConte, 1861",,433505,Chauliognathinae,Chauliognathidae,exact,
Cantharidae,Dysmorphocerinae,"Brancucci, 1980",,433506,Dysmorphocerinae,,exact,
Cantharidae,Heteromastiginae,"Motyka et al., 2023",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cantharidae,Malthininae,"Kiesenwetter, 1852",,433503,Malthininae,,exact,
Cantharidae,Silinae,"Mulsant, 1862",,433504,Silinae,,exact,
Carabidae,Apotominae,"J.L. LeConte, 1853",,706619,Apotominae,,exact,
Carabidae,Brachininae,"Bonelli, 1810",,71531,Brachininae,,exact,
Carabidae,Broscinae,"Hope, 1838",,706621,Broscinae,,exact,
Carabidae,Carabinae,"Latreille, 1802",,71533,Carabinae,,exact,
Carabidae,Cicindinae,"Csiki, 1927",,,,,missing,Not found in NCBI Coleoptera subfamilies
Carabidae,Conjunctiinae,"Ponomarenko, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Carabidae,Elaphrinae,"Latreille, 1802",,706624,Elaphrinae,,exact,
Carabidae,Gehringiinae,"Darlington, 1933",,706626,Gehringiinae,,exact,
Carabidae,Harpalinae,"Bonelli, 1810",,71541,Harpalinae,,exact,
Carabidae,Hiletinae,"Schiødte, 1847",,,,,missing,Not found in NCBI Coleoptera subfamilies
Carabidae,Loricerinae,"Bonelli, 1810",,706629,Loricerinae,,exact,
Carabidae,Melaeninae,"Csiki, 1933",,706623,Melaeninae,,exact,
Carabidae,Migadopinae,"Chaudoir, 1861",,706630,Migadopinae,,exact,
Carabidae,Nebriinae,"Laporte, 1834",,71539,Nebriinae,,exact,
Carabidae,Nototylinae,"Bänninger, 1927",,,,,missing,Not found in NCBI Coleoptera subfamilies
Carabidae,Omophroninae,"Bonelli, 1810",,71521,Omophroninae,,exact,
Carabidae,Patrobinae,"W. Kirby, 1837",,3093835,Patrobinae,,exact,
Carabidae,Paussinae,"Latreille, 1806",,71520,Paussinae,,exact,
Carabidae,Protorabinae,"Ponomarenko, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Carabidae,Psydrinae,"J.L. LeConte, 1853",,706618,Psydrinae,,exact,
Carabidae,Rhysodinae,"Laporte, 1840",,63897,Rhysodinae,Rhysodidae|Rhysodini,exact,
Carabidae,Scaritinae,"Bonelli, 1810",,706622,Scaritinae,,exact,
Carabidae,Siagoninae,"Bonelli, 1813",,706620,Siagoninae,,exact,
Carabidae,Trechinae,"Bonelli, 1810",,686349,Trechinae,,exact,
Caridae,Baissorhynchinae,"Zherikhin, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Caridae,Carinae,"Thompson, 1992",,,,,missing,Not found in NCBI Coleoptera subfamilies
Caridae,Chilecarinae,"Legalov, 2009",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cerambycidae,Cerambycinae,"Latreille, 1802",,79510,Cerambycinae,,exact,
Cerambycidae,Lamiinae,"Latreille, 1825",,79514,Lamiinae,Laminae,exact,
Cerambycidae,Lepturinae,"Latreille, 1802",,41155,Lepturinae,,exact,
Cerambycidae,Prioninae,"Latreille, 1802",,41154,Prioninae,,exact,
Cerambycidae,Spondylidinae,"Audinet-Serville, 1832",,1553908,Spondylidinae,,exact,
Cerylonidae,Ceryloninae,"Billberg, 1820",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cerylonidae,Loeblioryloninae,"Ślipiński, 1990",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cerylonidae,Ostomopsinae,"Sen Gupta & Crowson, 1973",,,,,missing,Not found in NCBI Coleoptera subfamilies
Chrysomelidae,Bruchinae,"Latreille, 1802",,64387,Bruchinae,Bruchidae,exact,
Chrysomelidae,Cassidinae,"Gyllenhal, 1813",,107219,Cassidinae,Hispinae,exact,
Chrysomelidae,Chrysomelinae,"Latreille, 1802",,63707,Chrysomelinae,,exact,
Chrysomelidae,Criocerinae,"Latreille, 1804",,63716,Criocerinae,,exact,
Chrysomelidae,Cryptocephalinae,"Gyllenhal, 1813",,131688,Cryptocephalinae,,exact,
Chrysomelidae,Donaciinae,"W. Kirby, 1837",,111198,Donaciinae,,exact,
Chrysomelidae,Eumolpinae,"Hope, 1841",,107214,Eumolpinae,Megascelinae|Synetinae,exact,
Chrysomelidae,Galerucinae,"Latreille, 1802",,63710,Galerucinae,,exact,
Chrysomelidae,Lamprosomatinae,"Lacordaire, 1848",,213584,Lamprosomatinae,,exact,
Chrysomelidae,Protoscelidinae,"L.N. Medvedev, 1968",,,,,missing,Not found in NCBI Coleoptera subfamilies
Chrysomelidae,Sagrinae,"Leach, 1815",,295311,Sagrinae,,exact,
Chrysomelidae,Spilopyrinae,"Chapuis, 1874",,284345,Spilopyrinae,,exact,
Chrysomelidae,Synetinae,"J.L. LeConte & G.H. Horn, 1883",,,,,missing,Not found in NCBI Coleoptera subfamilies
Ciidae,Ciinae,"Leach, 1819",,577181,Ciinae,,exact,
Ciidae,Xylographellinae,"Kawanabe & Miyatake, 1996",,,,,missing,Not found in NCBI Coleoptera subfamilies
Clambidae,Acalyptomerinae,"Crowson, 1979",,,,,missing,Not found in NCBI Coleoptera subfamilies
Clambidae,Calyptomerinae,"Crowson, 1955",,,,,missing,Not found in NCBI Coleoptera subfamilies
Clambidae,Clambinae,"Fischer von Waldheim, 1821",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cleridae,Clerinae,"Latreille, 1802",,2571558,Clerinae,,exact,
Cleridae,Epiclininae,"Gunter et al., 2013",,2571942,Epiclininae,,exact,
Cleridae,Korynetinae,"Laporte, 1838",,2571812,Korynetinae,Dermestoidinae|Enopliinae|Epiphloeinae|Neorthopleurinae|Orthopleurinae|Peloniinae|Platynopterinae|Tarsosteninae,exact,
Cleridae,Tillinae,"Fischer von Waldheim, 1813",,2571674,Tillinae,,exact,
Coccinellidae,Coccinellinae,"Latreille, 1807",,7081,Coccinellinae,,exact,
Coccinellidae,Microweiseinae,"Leng, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coccinellidae,Monocoryninae,"Miyatake, 1988",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coptoclavidae,Charonoscaphinae,"Ponomarenko, 1977",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coptoclavidae,Coptoclavinae,"Ponomarenko, 1961",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coptoclavidae,Coptoclaviscinae,"Soriano et al., 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coptoclavidae,Hispanoclavinae,"Soriano et al., 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Coptoclavidae,Timarchopsinae,"B. Wang et al., 2010",,,,,missing,Not found in NCBI Coleoptera subfamilies
Corylophidae,Corylophinae,"J.L. LeConte, 1852",,,,,missing,Not found in NCBI Coleoptera subfamilies
Corylophidae,Periptyctinae,"Ślipiński et al., 2001",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cryptophagidae,Atomariinae,"J.L. LeConte, 1861",,3233969,Atomariinae,,exact,
Cryptophagidae,Cryptophaginae,"W. Kirby, 1826",,3233948,Cryptophaginae,,exact,
Cucujidae,Cucujinae,"Latreille, 1802",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cucujidae,Pediacinae,"Jin et al., 2020",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cucujidae,Platisinae,"Jin et al., 2020",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cupedidae,Cupedinae,"Laporte, 1838",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cupedidae,Mesocupedinae,"Ponomarenko, 1969",,,,,missing,Not found in NCBI Coleoptera subfamilies
Cupedidae,Priacminae,"Crowson, 1962",,,,,missing,Not found in NCBI Coleoptera subfamilies
Curculionidae,Bagoinae,"C.G. Thomson, 1859",,166840,Bagoinae,,exact,
Curculionidae,Baridinae,"Schönherr, 1836",,122838,Baridinae,,exact,
Curculionidae,Brachycerinae,"Billberg, 1820",,159791,Brachycerinae,,conflict,NCBI places in Brachyceridae; Bouchard places in Curculionidae
Curculionidae,Ceutorhynchinae,"Gistel, 1848",,123516,Ceutorhynchinae,Ceutorhynchini|Ceutorrhynchini,exact,
Curculionidae,Conoderinae,"Schönherr, 1833",,167476,Conoderinae,Zygopinae,exact,
Curculionidae,Cossoninae,"Schönherr, 1825",,122827,Cossoninae,,exact,
Curculionidae,Cryptorhynchinae,"Schönherr, 1825",,190812,Cryptorhynchinae,,exact,
Curculionidae,Curculioninae,"Latreille, 1802",,39816,Curculioninae,,exact,
Curculionidae,Cyclominae,"Schönherr, 1826",,167475,Cyclominae,,exact,
Curculionidae,Dryophthorinae,"Schönherr, 1825",,39812,Dryophthorinae,Calendrinae|Dryophthoridae|Rhynchophoridae|Rhynchophorinae,exact,
Curculionidae,Entiminae,"Schönherr, 1823",,39814,Entiminae,,exact,
Curculionidae,Hyperinae,"Lacordaire, 1863",,39819,Hyperinae,Phytonominae,exact,
Curculionidae,Lixinae,"Schönherr, 1823",,122885,Lixinae,,exact,
Curculionidae,Mesoptiliinae,"Lacordaire, 1863",,2480567,Mesoptiliinae,,exact,
Curculionidae,Molytinae,"Schönherr, 1823",,54544,Molytinae,Pissodinae,exact,
Curculionidae,Orobitidinae,"C.G. Thomson, 1859",,342694,Orobitidinae,,exact,
Curculionidae,Platypodinae,"Shuckard, 1839",,,,,missing,Not found in NCBI Coleoptera subfamilies
Curculionidae,Xiphaspidinae,"G.A.K. Marshall, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dascillidae,Dascillinae,"Guérin-Méneville, 1843",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dascillidae,Karumiinae,"Escalera, 1913",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dermestidae,Attageninae,"Laporte, 1840",,2987447,Attageninae,,exact,
Dermestidae,Dermestinae,"Latreille, 1804",,2987448,Dermestinae,,exact,
Dermestidae,Megatominae,"Leach, 1815",,2987417,Megatominae,,exact,
Dermestidae,Orphilinae,"J.L. LeConte, 1861",,2987449,Orphilinae,,exact,
Dermestidae,Trinodinae,"Casey, 1900",,2987451,Trinodinae,,exact,
Dermestidae,Trogoparvinae,"Zhou et al., 2022",,,,,missing,Not found in NCBI Coleoptera subfamilies
Derodontidae,Derodontinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Derodontidae,Laricobiinae,"Mulsant & Rey, 1864",,,,,missing,Not found in NCBI Coleoptera subfamilies
Derodontidae,Peltasticinae,"J.L. LeConte, 1861",,,,,missing,Not found in NCBI Coleoptera subfamilies
Discolomatidae,Aphanocephalinae,"Jakobson, 1904",,,,,missing,Not found in NCBI Coleoptera subfamilies
Discolomatidae,Cephalophaninae,"John, 1954",,,,,missing,Not found in NCBI Coleoptera subfamilies
Discolomatidae,Discolomatinae,"G.H. Horn, 1878",,,,,missing,Not found in NCBI Coleoptera subfamilies
Discolomatidae,Notiophyginae,"Jakobson, 1915",,,,,missing,Not found in NCBI Coleoptera subfamilies
Discolomatidae,Pondonatinae,"John, 1954",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dytiscidae,Agabinae,"C.G. Thomson, 1867",,422058,Agabinae,,exact,
Dytiscidae,Colymbetinae,"Erichson, 1837",,107840,Colymbetinae,,exact,
Dytiscidae,Copelatinae,"Branden, 1884",,107841,Copelatinae,,exact,
Dytiscidae,Coptotominae,"Branden, 1885",,422068,Coptotominae,,exact,
Dytiscidae,Cybisterinae,"Sharp, 1880",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dytiscidae,Dytiscinae,"Leach, 1815",,107842,Dytiscinae,,exact,
Dytiscidae,Hydrodytinae,"K.B. Miller, 2001",,183331,Hydrodytinae,,exact,
Dytiscidae,Hydroporinae,"Aubé, 1836",,107843,Hydroporinae,,exact,
Dytiscidae,Laccophilinae,"Gistel, 1848",,107844,Laccophilinae,,exact,
Dytiscidae,Lancetinae,"Branden, 1884",,107845,Lancetinae,,exact,
Dytiscidae,Liadytiscinae,"Prokin & Ren, 2010",,,,,missing,Not found in NCBI Coleoptera subfamilies
Dytiscidae,Matinae,"Branden, 1884",,183391,Matinae,,exact,
Dytiscidae,Palaeogyrininae,"Schlechtendal, 1894",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Agrypninae,"Candèze, 1857",,195166,Agrypninae,,exact,
Elateridae,Cardiophorinae,"Candèze, 1859",,186096,Cardiophorinae,,exact,
Elateridae,Dendrometrinae,"Gistel, 1848",,195296,Dendrometrinae,,exact,
Elateridae,Elaterinae,"Leach, 1815",,116139,Elaterinae,,exact,
Elateridae,Hapatesinae,"Kusy et al., 2021",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Hemiopinae,"Fleutiaux, 1941",,1490810,Hemiopinae,,exact,
Elateridae,Hypnoidinae,"Schwarz, 1906",,341427,Hypnoidinae,,exact,
Elateridae,Lissominae,"Laporte, 1835",,445473,Lissominae,,exact,
Elateridae,Morostominae,"Dolin, 2000",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Negastriinae,"Nakane & Kishii, 1956",,341450,Negastriinae,,exact,
Elateridae,Oestodinae,"Hyslop, 1917",,109587,Oestodinae,,exact,
Elateridae,Omalisinae,"Lacordaire, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Physodactylinae,"Lacordaire, 1857",,1028095,Physodactylinae,,exact,
Elateridae,Pityobiinae,"Hyslop, 1917",,1857320,Pityobiinae,,exact,
Elateridae,Protagrypninae,"Dolin, 1973",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Subprotelaterinae,"Fleutiaux, 1920",,,,,missing,Not found in NCBI Coleoptera subfamilies
Elateridae,Tetralobinae,"Laporte, 1840",,1028094,Tetralobinae,,exact,
Elateridae,Thylacosterninae,"Fleutiaux, 1920",,350105,Thylacosterninae,Balginae,exact,
Elmidae,Elminae,"Curtis, 1830",,186992,Elminae,,exact,
Elmidae,Larainae,"J.L. LeConte, 1861",,186993,Larainae,Larinae,exact,
Endomychidae,Cyclotominae,"Imhoff, 1856",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Danascelinae,"Tomaszewska, 2000",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Endomychinae,"Leach, 1815",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Epipocinae,"Gorham, 1873",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Leiestinae,"C.G. Thomson, 1863",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Lycoperdininae,"Bromhead, 1838",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Merophysiinae,"Seidlitz, 1872",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Pleganophorinae,"Jacquelin du Val, 1858",,,,,missing,Not found in NCBI Coleoptera subfamilies
Endomychidae,Xenomycetinae,"Strohecker, 1962",,,,,missing,Not found in NCBI Coleoptera subfamilies
Erotylidae,Cryptophilinae,"Casey, 1900",,3410461,Cryptophilinae,,exact,
Erotylidae,Erotylinae,"Latreille, 1802",,2055806,Erotylinae,,exact,
Erotylidae,Languriinae,"Hope, 1841",,196991,Languriinae,Languriidae,exact,
Erotylidae,Loberinae,"Bruce, 1951",,2083784,Loberinae,,exact,
Erotylidae,Pharaxonothinae,"Crowson, 1952",,2055807,Pharaxonothinae,,exact,
Erotylidae,Xenoscelinae,"Ganglbauer, 1899",,2055808,Xenoscelinae,,exact,
Eucnemidae,Anischiinae,"Fleutiaux, 1936",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Eucneminae,"Eschscholtz, 1829",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Macraulacinae,"Fleutiaux, 1923",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Melasinae,"Fleming, 1821",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Palaeoxeninae,"Muona, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Perothopinae,"Lacordaire, 1857",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Phlegoninae,"Muona, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Phyllocerinae,"Reitter, 1905",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Pseudomeninae,"Muona, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Eucnemidae,Schizophilinae,"Muona, 1993",,,,,missing,Not found in NCBI Coleoptera subfamilies
Geotrupidae,Geotrupinae,"Latreille, 1802",,,,,missing,Not found in NCBI Coleoptera subfamilies
Geotrupidae,Taurocerastinae,"Germain, 1897",,,,,missing,Not found in NCBI Coleoptera subfamilies
Glaphyridae,Amphicominae,"Blanchard, 1845",,,,,missing,Not found in NCBI Coleoptera subfamilies
Glaphyridae,Cretoglaphyrinae,"Nikolajev, 2005",,,,,missing,Not found in NCBI Coleoptera subfamilies
Glaphyridae,Glaphyrinae,"W.S. MacLeay, 1819",,,,,missing,Not found in NCBI Coleoptera subfamilies
Gyrinidae,Gyrininae,"Latreille, 1810",,,,,missing,Not found in NCBI Coleoptera subfamilies
Gyrinidae,Heterogyrinae,"Brinck, 1956",,,,,missing,Not found in NCBI Coleoptera subfamilies
Gyrinidae,Spanglerogyrinae,"Folkerts, 1979",,,,,missing,Not found in NCBI Coleoptera subfamilies
Heteroceridae,Elythomerinae,"Pacheco, 1964",,,,,missing,Not found in NCBI Coleoptera subfamilies
Heteroceridae,Heterocerinae,"W.S. MacLeay, 1825",,,,,missing,Not found in NCBI Coleoptera subfamilies
Histeridae,Abraeinae,"W.S. MacLeay, 1819",,154152,Abraeinae,,exact,
Histeridae,Antigracilinae,"Zhou, Caterino, Ren & Ślipiński, 2020",,,,,missing,Not found in NCBI Coleoptera subfamilies
Histeridae,Chlamydopsinae,"Bickhardt, 1914",,1541387,Chlamydopsinae,,exact,
Histeridae,Dendrophilinae,"Reitter, 1909",,154184,Dendrophilinae,,exact,
Histeridae,Haeteriinae,"Marseul, 1857",,154229,Haeteriinae,Hetaeriinae,exact,
Histeridae,Histerinae,"Gyllenhal, 1808",,154210,Histerinae,,exact,
Histeridae,Niponiinae,"Fowler, 1912",,,,,missing,Not found in NCBI Coleoptera subfamilies
Histeridae,Onthophilinae,"W.S. MacLeay, 1819",,154181,Onthophilinae,,exact,
Histeridae,Saprininae,"Blanchard, 1845",,154165,Saprininae,,exact,
Histeridae,Tribalinae,"Bickhardt, 1914",,154174,Tribalinae,,exact,
Hybosoridae,Anaidinae,"Nikolajev, 1996",,2606940,Anaidinae,,exact,
Hybosoridae,Ceratocanthinae,"Martínez, 1968",,2606939,Ceratocanthinae,,exact,
Hybosoridae,Hybosorinae,"Erichson, 1847",,2607020,Hybosorinae,,exact,
Hybosoridae,Liparochrinae,"Ocampo, 2006",,2607022,Liparochrinae,,exact,
Hybosoridae,Mimaphodiinae,"Nikolajev, 2007",,,,,missing,Not found in NCBI Coleoptera subfamilies
Hybosoridae,Pachyplectrinae,"Ocampo, 2006",,2607021,Pachyplectrinae,,exact,
Hydraenidae,Hydraeninae,"Mulsant, 1844",,2962270,Hydraeninae,,exact,
Hydraenidae,Ochthebiinae,"C.G. Thomson, 1859",,2962271,Ochthebiinae,,exact,
Hydraenidae,Orchymontiinae,"Perkins, 1997",,2962272,Orchymontiinae,,exact,
Hydraenidae,Prosthetopinae,"Perkins, 1994",,2962273,Prosthetopinae,,exact,
Hydrophilidae,Acidocerinae,"Zaitzev, 1908",,1383238,Acidocerinae,,exact,
Hydrophilidae,Chaetarthriinae,"Bedel, 1881",,,,,missing,Not found in NCBI Coleoptera subfamilies
Hydrophilidae,Cylominae,"Zaitzev, 1908",,1397837,Cylominae,Rygmodinae,exact,
Hydrophilidae,Enochrinae,"Short & Fikáček, 2013",,,,,missing,Not found in NCBI Coleoptera subfamilies
Hydrophilidae,Hydrophilinae,"Latreille, 1802",,1383205,Hydrophilinae,,exact,
Hydrophilidae,Sphaeridiinae,"Latreille, 1802",,1383126,Sphaeridiinae,,exact,
Hydroscaphidae,Hydroscaphinae,"J.L. LeConte, 1874",,,,,missing,Not found in NCBI Coleoptera subfamilies
Hydroscaphidae,Leehermaniinae,"Kirejtshuk et al., 2023",,,,,missing,Not found in NCBI Coleoptera subfamilies
Hydroscaphidae,Triamyxinae,"Qvarnström et al., 2021",,,,,missing,Not found in NCBI Coleoptera subfamilies
Kateretidae,Antirhelinae,"Kirejtshuk, 2023",,,,,missing,Not found in NCBI Coleoptera subfamilies
Kateretidae,Kateretinae,"W. Kirby, 1837",,,,,missing,Not found in NCBI Coleoptera subfamilies
Lampyridae,Amydetinae,"E. Olivier, 1907",,433526,Amydetinae,,exact,
Lampyridae,Cheguevariinae,"Kazantsev, 2007",,3138599,Cheguevariinae,,exact,
Lampyridae,Chespiritoinae,"Ferreira et al., 2020",,,,,missing,Not found in NCBI Coleoptera subfamilies
Lampyridae,Cladodinae,"Bocákova et al., 2022",,,,,missing,Not found in NCBI Coleoptera subfamilies
Lampyridae,Cyphonocerinae,"Crowson, 1972",,454574,Cyphonocerinae,,exact,
Lampyridae,Lamprohizinae,"Kazantsev, 2010",,,,,missing,Not found in NCBI Coleoptera subfamilies
Lampyridae,Lampyrinae,"Rafinesque, 1815",,433514,Lampyrinae,,exact,
Lampyridae,Luciolinae,"Lacordaire, 1857",,433515,Luciolinae,,exact,
Lampyridae,Ototretinae,"McDermott, 1964",,433517,Ototretinae,,exact,
Lampyridae,Photurinae,"Lacordaire, 1857",,433518,Photurinae,,exact,
Lampyridae,Psilocladinae,"McDermott, 1964",,433524,Psilocladinae,,exact,
Lampyridae,Pterotinae,"J.L. LeConte, 1861",,433519,Pterotinae,,exact,
Latridiidae,Corticariinae,"Curtis, 1829",,,,,missing,Not found in NCBI Coleoptera subfamilies
Latridiidae,Latridiinae,"Erichson, 1842",,,,,missing,Not found in NCBI Coleoptera subfamilies
Leiodidae,Camiarinae,"Jeannel, 1911",,66536,Camiarinae,,exact,
Leiodidae,Catopocerinae,"Hatch, 1927",,1542314,Catopocerinae,,exact,
Leiodidae,Cholevinae,"W. Kirby, 1837",,144794,Cholevinae,Cholevidae,exact,
Leiodidae,Leiodinae,"Fleming, 1821",,174917,Leiodinae,,exact,
Leiodidae,Platypsyllinae,"Ritsema, 1869",,1542315,Platypsyllinae,,exact,
Limnichidae,Cephalobyrrhinae,"Champion, 1925",,,,,missing,Not found in NCBI Coleoptera subfamilies
Limnichidae,Hyphalinae,"Britton, 1971",,,,,missing,Not found in NCBI Coleoptera subfamilies
Limnichidae,Limnichinae,"Erichson, 1846",,,,,missing,Not found in NCBI Coleoptera subfamilies
Limnichidae,Thaumastodinae,"Champion, 1924",,,,,missing,Not found in NCBI Coleoptera subfamilies
Lucanidae,Aesalinae,"W.S. MacLeay, 1819",,614532,Aesalinae,,exact,
