tip_label,species_name,assembly_accession,family,clade,role
Abax_parallelepipedus,Abax parallelepipedus,GCA_964197645.1,Carabidae,Adephaga,ingroup
Abscondita_terminalis,Abscondita terminalis,GCA_013368085.1,Lampyridae,Elateriformia,ingroup
Acanthacorydalis_orientalis,Acanthacorydalis orientalis,GCA_034766995.1,Corydalidae,Megaloptera,outgroup
Acanthoscelides_obtectus,Acanthoscelides obtectus,GCA_963669975.1,Chrysomelidae,Cucujiformia,ingroup
Actenicerus_siaelandicus,Actenicerus siaelandicus,GCA_964234755.1,Elateridae,Elateriformia,ingroup
Acupalpus_dubius,Acupalpus dubius,GCA_977071005.1,Carabidae,Adephaga,ingroup
Acupalpus_parvulus,Acupalpus parvulus,GCA_981690485.1,Carabidae,Adephaga,ingroup
Adalia_bipunctata,Adalia bipunctata,GCA_910592335.1,Coccinellidae,Cucujiformia,ingroup
Adalia_decempunctata,Adalia decempunctata,GCA_951802165.1,Coccinellidae,Cucujiformia,ingroup
Adelopsella_bosnica,Adelopsella bosnica,GCA_977014165.1,Leiodidae,Staphyliniformia,ingroup
Aegialia_arenaria,Aegialia arenaria,GCA_978045345.1,Scarabaeidae,Scarabaeiformia,ingroup
Aethina_tumida,Aethina tumida,GCF_024364675.1,Nitidulidae,Cucujiformia,ingroup
Agelastica_alni,Agelastica alni,GCA_950111635.2,Chrysomelidae,Cucujiformia,ingroup
Agonum_fuliginosum,Agonum fuliginosum,GCA_947534325.1,Carabidae,Adephaga,ingroup
Agonum_gracile,Agonum gracile,GCA_982290465.1,Carabidae,Adephaga,ingroup
Agonum_viduum,Agonum viduum,GCA_978021445.1,Carabidae,Adephaga,ingroup
Agrilus_biguttatus,Agrilus biguttatus,GCA_963921985.1,Buprestidae,Elateriformia,ingroup
Agrilus_cyanescens,Agrilus cyanescens,GCA_947389935.1,Buprestidae,Elateriformia,ingroup
Agrilus_mali,Agrilus mali,GCA_055682225.1,Buprestidae,Elateriformia,ingroup
Agrilus_planipennis,Agrilus planipennis,GCF_000699045.2,Buprestidae,Elateriformia,ingroup
Agriotes_ferrugineipennis,Agriotes ferrugineipennis,GCA_044115295.2,Elateridae,Elateriformia,ingroup
Agriotes_lineatus,Agriotes lineatus,GCA_965788545.1,Elateridae,Elateriformia,ingroup
Agriotes_mancus,Agriotes mancus,GCA_041228495.2,Elateridae,Elateriformia,ingroup
Agriotes_obscurus,Agriotes obscurus,GCA_040955315.2,Elateridae,Elateriformia,ingroup
Agriotes_sputator,Agriotes sputator,GCA_044115325.2,Elateridae,Elateriformia,ingroup
Agrypnus_murinus,Agrypnus murinus,GCA_929113105.1,Elateridae,Elateriformia,ingroup
Aleochara_curtula,Aleochara curtula,GCA_963978815.1,Staphylinidae,Staphyliniformia,ingroup
Altica_lythri,Altica lythri,GCA_964028335.1,Chrysomelidae,Cucujiformia,ingroup
Amara_aenea,Amara aenea,GCA_973350105.1,Carabidae,Adephaga,ingroup
Amara_convexiuscula,Amara convexiuscula,GCA_981560045.1,Carabidae,Adephaga,ingroup
Amara_familiaris,Amara familiaris,GCA_978120735.1,Carabidae,Adephaga,ingroup
Amara_ovata,Amara ovata,GCA_965279835.1,Carabidae,Adephaga,ingroup
Ampedus_sanguinolentus,Ampedus sanguinolentus,GCA_964234815.1,Elateridae,Elateriformia,ingroup
Amphimallon_solstitiale,Amphimallon solstitiale,GCA_963170755.1,Scarabaeidae,Scarabaeiformia,ingroup
Anaglyptus_mysticus,Anaglyptus mysticus,GCA_978041785.1,Cerambycidae,Cucujiformia,ingroup
Anaspis_frontalis,Anaspis frontalis,GCA_964243895.1,Scraptiidae,Cucujiformia,ingroup
Anaspis_maculata,Anaspis maculata,GCA_949128115.1,Scraptiidae,Cucujiformia,ingroup
Anaspis_regimbarti,Anaspis regimbarti,GCA_964204715.1,Scraptiidae,Cucujiformia,ingroup
Anisosticta_novemdecimpunctata,Anisosticta novemdecimpunctata,GCA_964188095.1,Coccinellidae,Cucujiformia,ingroup
Anobium_punctatum,Anobium punctatum,GCA_965643755.1,Ptinidae,Cucujiformia,ingroup
Anoplophora_chinensis,Anoplophora chinensis,GCA_052815205.1,Cerambycidae,Cucujiformia,ingroup
Anoplophora_glabripennis,Anoplophora glabripennis,GCA_054644005.1,Cerambycidae,Cucujiformia,ingroup
Anoplophora_malasiaca,Anoplophora malasiaca,GCA_054644075.1,Cerambycidae,Cucujiformia,ingroup
Anthobium_unicolor,Anthobium unicolor,GCA_965663565.1,Staphylinidae,Staphyliniformia,ingroup
Anthocomus_fasciatus,Anthocomus fasciatus,GCA_964258815.1,Melyridae,Cucujiformia,ingroup
Anthonomus_grandis_grandis,Anthonomus grandis grandis,GCF_022605725.1,Curculionidae,Cucujiformia,ingroup
Anthonomus_grandis_thurberiae,Anthonomus grandis thurberiae,GCA_030068095.1,Curculionidae,Cucujiformia,ingroup
Anthonomus_rubi,Anthonomus rubi,GCA_050242925.2,Curculionidae,Cucujiformia,ingroup
Anthroherpon_ganglbaueri,Anthroherpon ganglbaueri,GCA_978045665.1,Leiodidae,Staphyliniformia,ingroup
Aphidecta_obliterata,Aphidecta obliterata,GCA_963966015.1,Coccinellidae,Cucujiformia,ingroup
Aphodius_fimetarius,Aphodius fimetarius,GCA_964211865.1,Scarabaeidae,Scarabaeiformia,ingroup
Aphodius_granarius,Aphodius granarius,GCA_963971325.1,Scarabaeidae,Scarabaeiformia,ingroup
Aphodius_sticticus,Aphodius sticticus,GCA_963966075.1,Scarabaeidae,Scarabaeiformia,ingroup
Aplotarsus_incanus,Aplotarsus incanus,GCA_978018165.1,Elateridae,Elateriformia,ingroup
Apoderus_coryli,Apoderus coryli,GCA_911728435.2,Attelabidae,Cucujiformia,ingroup
Aquatica_leii,Aquatica leii,GCA_035610365.1,Lampyridae,Elateriformia,ingroup
Arhopalus_rusticus,Arhopalus rusticus,GCA_046563155.1,Cerambycidae,Cucujiformia,ingroup
Arhopalus_unicolor,Arhopalus unicolor,GCA_045514315.1,Cerambycidae,Cucujiformia,ingroup
Aromia_moschata,Aromia moschata,GCA_965642075.1,Cerambycidae,Cucujiformia,ingroup
Aspidapion_aeneum,Aspidapion aeneum,GCA_963576565.1,Apionidae,Cucujiformia,ingroup
Attagenus_pellio,Attagenus pellio,GCA_978258735.1,Dermestidae,Cucujiformia,ingroup
Aulacophora_lewisii,Aulacophora lewisii,GCA_051251045.1,Chrysomelidae,Cucujiformia,ingroup
Barypeithes_pellucidus,Barypeithes pellucidus,GCA_963991005.1,Curculionidae,Cucujiformia,ingroup
Bathyscidius_tristiculus,Bathyscidius tristiculus,GCA_979853965.1,Leiodidae,Staphyliniformia,ingroup
Batocera_lineolata,Batocera lineolata,GCA_052815245.1,Cerambycidae,Cucujiformia,ingroup
Betulapion_simile,Betulapion simile,GCA_966183525.1,Apionidae,Cucujiformia,ingroup
Biphyllus_lunatus,Biphyllus lunatus,GCA_965194465.1,Biphyllidae,Cucujiformia,ingroup
Bitoma_crenata,Bitoma crenata,GCA_964656825.2,Zopheridae,Cucujiformia,ingroup
Blaps_rhynchoptera,Blaps rhynchoptera,GCA_042257705.1,Tenebrionidae,Cucujiformia,ingroup
Brachynemurus_nebulosus,Brachynemurus nebulosus,GCA_035578155.1,Myrmeleontidae,Neuroptera,outgroup
Brachypterus_glaber,Brachypterus glaber,GCA_958510825.1,Kateretidae,Cucujiformia,ingroup
Brassicogethes_aeneus,Brassicogethes aeneus,GCA_921294245.1,Nitidulidae,Cucujiformia,ingroup
Brontispa_longissima,Brontispa longissima,GCA_040580785.1,Chrysomelidae,Cucujiformia,ingroup
Bruchidius_siliquastri,Bruchidius siliquastri,GCA_949316355.1,Chrysomelidae,Cucujiformia,ingroup
Bruchidius_varius,Bruchidius varius,GCA_964204745.1,Chrysomelidae,Cucujiformia,ingroup
Bruchidius_villosus,Bruchidius villosus,GCA_965643515.1,Chrysomelidae,Cucujiformia,ingroup
Calathus_fuscipes,Calathus fuscipes,GCA_978122415.1,Carabidae,Adephaga,ingroup
Calathus_melanocephalus,Calathus melanocephalus,GCA_966096355.1,Carabidae,Adephaga,ingroup
Callosobruchus_maculatus,Callosobruchus maculatus,GCA_040182625.1,Chrysomelidae,Cucujiformia,ingroup
Calodromius_spilotus,Calodromius spilotus,GCA_977063495.1,Carabidae,Adephaga,ingroup
Calosoma_granatense,Calosoma granatense,GCA_022063505.1,Carabidae,Adephaga,ingroup
Calosoma_tepidum,Calosoma tepidum,GCA_044734075.1,Carabidae,Adephaga,ingroup
Calosoma_wilkesii,Calosoma wilkesii,GCA_044734065.1,Carabidae,Adephaga,ingroup
Calvia_quattuordecimguttata,Calvia quattuordecimguttata,GCA_964059645.1,Coccinellidae,Cucujiformia,ingroup
Cantharis_decipiens,Cantharis decipiens,GCA_965642435.1,Cantharidae,Elateriformia,ingroup
Cantharis_flavilabris,Cantharis flavilabris,GCA_949152465.1,Cantharidae,Elateriformia,ingroup
Cantharis_lateralis,Cantharis lateralis,GCA_963170105.1,Cantharidae,Elateriformia,ingroup
Cantharis_nigra,Cantharis nigra,GCA_958510845.1,Cantharidae,Elateriformia,ingroup
Cantharis_pallida,Cantharis pallida,GCA_978407175.1,Cantharidae,Elateriformia,ingroup
Cantharis_rufa,Cantharis rufa,GCA_947369205.1,Cantharidae,Elateriformia,ingroup
Cantharis_rustica,Cantharis rustica,GCA_911387805.1,Cantharidae,Elateriformia,ingroup
Canthon_chalcites,Canthon chalcites,GCA_054832385.1,Scarabaeidae,Scarabaeiformia,ingroup
Carabus_banonii,Carabus banonii,GCA_964291765.2,Carabidae,Adephaga,ingroup
Carabus_blaptoides_fortunei,Carabus blaptoides fortunei,GCA_050785175.1,Carabidae,Adephaga,ingroup
Carabus_esakii,Carabus esakii,GCA_054785535.1,Carabidae,Adephaga,ingroup
Carabus_nemoralis,Carabus nemoralis,GCA_977790985.1,Carabidae,Adephaga,ingroup
Carabus_problematicus,Carabus problematicus,GCA_963422195.1,Carabidae,Adephaga,ingroup
Carabus_staehlini,Carabus staehlini,GCA_977013385.1,Carabidae,Adephaga,ingroup
Cartodere_bifasciata,Cartodere bifasciata,GCA_963920755.1,Latridiidae,Cucujiformia,ingroup
Catharsius_molossus,Catharsius molossus,GCA_051362485.1,Scarabaeidae,Scarabaeiformia,ingroup
Catops_nigricans,Catops nigricans,GCA_965642125.1,Leiodidae,Staphyliniformia,ingroup
Cedrorum_azoricus,Cedrorum azoricus,GCA_965287095.1,Carabidae,Adephaga,ingroup
Cetonia_aurata,Cetonia aurata,GCA_949128085.1,Scarabaeidae,Scarabaeiformia,ingroup
Ceutorhynchus_assimilis,Ceutorhynchus assimilis,GCA_917834065.1,Curculionidae,Cucujiformia,ingroup
Ceutorhynchus_obstrictus,Ceutorhynchus obstrictus,GCA_965178145.1,Curculionidae,Cucujiformia,ingroup
Chaetocnema_hortensis,Chaetocnema hortensis,GCA_965653155.1,Chrysomelidae,Cucujiformia,ingroup
Chrysina_gloriosa,Chrysina gloriosa,GCA_038088585.1,Scarabaeidae,Scarabaeiformia,ingroup
Chrysolina_americana,Chrysolina americana,GCA_958502065.1,Chrysomelidae,Cucujiformia,ingroup
Chrysolina_graminis,Chrysolina graminis,GCA_964197785.1,Chrysomelidae,Cucujiformia,ingroup
Chrysolina_haemoptera,Chrysolina haemoptera,GCA_958298965.1,Chrysomelidae,Cucujiformia,ingroup
Chrysolina_herbacea,Chrysolina herbacea,GCA_979300175.1,Chrysomelidae,Cucujiformia,ingroup
Chrysolina_hyperici,Chrysolina hyperici,GCA_982264245.1,Chrysomelidae,Cucujiformia,ingroup
Chrysolina_oricalcia,Chrysolina oricalcia,GCA_944452925.2,Chrysomelidae,Cucujiformia,ingroup
Chrysomela_aeneicollis,Chrysomela aeneicollis,GCA_029955515.1,Chrysomelidae,Cucujiformia,ingroup
Chrysomela_populi,Chrysomela populi,GCA_965642295.1,Chrysomelidae,Cucujiformia,ingroup
Chrysomela_saliceti,Chrysomela saliceti,GCA_965121785.1,Chrysomelidae,Cucujiformia,ingroup
Chrysopa_pallens,Chrysopa pallens,GCA_020423425.1,Chrysopidae,Neuroptera,outgroup
Chrysoperla_carnea,Chrysoperla carnea,GCF_905475395.1,Chrysopidae,Neuroptera,outgroup
Chrysoperla_zastrowi_sillemi,Chrysoperla zastrowi sillemi,GCA_040669965.1,Chrysopidae,Neuroptera,outgroup
Cis_bilamellatus,Cis bilamellatus,GCA_977930235.1,Ciidae,Cucujiformia,ingroup
Clivina_fossor,Clivina fossor,GCA_963966155.1,Carabidae,Adephaga,ingroup
Coccidula_rufa,Coccidula rufa,GCA_965178175.1,Coccinellidae,Cucujiformia,ingroup
Coccinella_magnifica,Coccinella magnifica,GCA_965644565.1,Coccinellidae,Cucujiformia,ingroup
Coccinella_septempunctata,Coccinella septempunctata,GCF_907165205.1,Coccinellidae,Cucujiformia,ingroup
Coccinella_transversoguttata,Coccinella transversoguttata,GCA_053478235.1,Coccinellidae,Cucujiformia,ingroup
Coelostoma_orbiculare,Coelostoma orbiculare,GCA_979606585.1,Hydrophilidae,Staphyliniformia,ingroup
Colydium_elongatum,Colydium elongatum,GCA_964656385.1,Zopheridae,Cucujiformia,ingroup
Conwentzia_psociformis,Conwentzia psociformis,GCA_976988905.1,Coniopterygidae,Neuroptera,outgroup
Crepidodera_aurata,Crepidodera aurata,GCA_965645225.1,Chrysomelidae,Cucujiformia,ingroup
Crepidodera_aurea,Crepidodera aurea,GCA_949320105.2,Chrysomelidae,Cucujiformia,ingroup
Crepidodera_fulvicornis,Crepidodera fulvicornis,GCA_965615805.1,Chrysomelidae,Cucujiformia,ingroup
Crioceris_asparagi,Crioceris asparagi,GCA_958507055.1,Chrysomelidae,Cucujiformia,ingroup
Crudosilis_ruficollis,Crudosilis ruficollis,GCA_978018155.1,Cantharidae,Elateriformia,ingroup
Cryptocephalus_moraei,Cryptocephalus moraei,GCA_946251905.1,Chrysomelidae,Cucujiformia,ingroup
Cryptocephalus_primarius,Cryptocephalus primarius,GCA_963576515.1,Chrysomelidae,Cucujiformia,ingroup
Cryptocephalus_pusillus,Cryptocephalus pusillus,GCA_965663585.1,Chrysomelidae,Cucujiformia,ingroup
Cryptolaemus_montrouzieri,Cryptolaemus montrouzieri,GCA_013387265.2,Coccinellidae,Cucujiformia,ingroup
Cryptophagus_acutangulus,Cryptophagus acutangulus,GCA_963556235.1,Cryptophagidae,Cucujiformia,ingroup
Cryptorhynchus_lapathi,Cryptorhynchus lapathi,GCA_965641385.1,Curculionidae,Cucujiformia,ingroup
Ctenicera_cuprea,Ctenicera cuprea,GCA_958336395.1,Elateridae,Elateriformia,ingroup
Curculio_caryae,Curculio caryae,GCA_051047995.1,Curculionidae,Cucujiformia,ingroup
Curculio_glandium,Curculio glandium,GCA_965648435.1,Curculionidae,Cucujiformia,ingroup
Cylas_formicarius,Cylas formicarius,GCF_029955315.1,Brentidae,Cucujiformia,ingroup
Cynaeus_angustus,Cynaeus angustus,GCA_030157275.1,Tenebrionidae,Cucujiformia,ingroup
Dailognatha_quadricollis,Dailognatha quadricollis,GCA_965183915.1,Tenebrionidae,Cucujiformia,ingroup
Dalopius_marginatus,Dalopius marginatus,GCA_965112895.1,Elateridae,Elateriformia,ingroup
Dalotia_coriaria,Dalotia coriaria,GCA_025399875.3,Staphylinidae,Staphyliniformia,ingroup
Dascillus_cervinus,Dascillus cervinus,GCA_949768715.1,Dascillidae,Cucujiformia,ingroup
Dastarcus_helophoroides,Dastarcus helophoroides,GCA_028583605.1,Bothrideridae,Cucujiformia,ingroup
Dendarus_foraminosus,Dendarus foraminosus,GCA_965152765.1,Tenebrionidae,Cucujiformia,ingroup
Dendroctonus_frontalis,Dendroctonus frontalis,GCA_040113315.1,Curculionidae,Cucujiformia,ingroup
Dendroctonus_ponderosae,Dendroctonus ponderosae,GCA_020466585.2,Curculionidae,Cucujiformia,ingroup
Dendroctonus_valens,Dendroctonus valens,GCA_024550625.1,Curculionidae,Cucujiformia,ingroup
Denticollis_linearis,Denticollis linearis,GCA_964205235.1,Elateridae,Elateriformia,ingroup
Diabrotica_balteata,Diabrotica balteata,GCA_918026665.1,Chrysomelidae,Cucujiformia,ingroup
Diabrotica_undecimpunctata,Diabrotica undecimpunctata,GCF_040954645.1,Chrysomelidae,Cucujiformia,ingroup
Diabrotica_virgifera_virgifera,Diabrotica virgifera virgifera,GCF_917563875.1,Chrysomelidae,Cucujiformia,ingroup
Diaperis_boleti,Diaperis boleti,GCA_963583935.1,Tenebrionidae,Cucujiformia,ingroup
Dicheirus_dilatatus,Dicheirus dilatatus,GCA_043773905.1,Carabidae,Adephaga,ingroup
Digitonthophagus_gazella,Digitonthophagus gazella,GCA_036711955.1,Scarabaeidae,Scarabaeiformia,ingroup
Diorhabda_carinata,Diorhabda carinata,GCA_029229535.1,Chrysomelidae,Cucujiformia,ingroup
Diorhabda_carinulata,Diorhabda carinulata,GCA_026250575.2,Chrysomelidae,Cucujiformia,ingroup
Diorhabda_elongata,Diorhabda elongata,GCA_026230145.1,Chrysomelidae,Cucujiformia,ingroup
Diorhabda_sublineata,Diorhabda sublineata,GCF_026230105.1,Chrysomelidae,Cucujiformia,ingroup
Diplocoelus_fagi,Diplocoelus fagi,GCA_975146085.1,Biphyllidae,Cucujiformia,ingroup
Diploeciton_nevermanni,Diploeciton nevermanni,GCA_027575565.1,Staphylinidae,Staphyliniformia,ingroup
Distenia_gracilis,Distenia gracilis,GCA_055671715.1,Cerambycidae,Cucujiformia,ingroup
Donacia_provostii,Donacia provostii,GCA_052550795.1,Chrysomelidae,Cucujiformia,ingroup
Dorcus_hopei,Dorcus hopei,GCA_033060865.1,Lucanidae,Scarabaeiformia,ingroup
Dorcus_parallelipipedus,Dorcus parallelipipedus,GCA_958336345.1,Lucanidae,Scarabaeiformia,ingroup
Dorysthenes_granulosus,Dorysthenes granulosus,GCA_052815825.1,Cerambycidae,Cucujiformia,ingroup
Drilus_flavescens,Drilus flavescens,GCA_973896625.1,Elateridae,Elateriformia,ingroup
Dromius_quadrimaculatus,Dromius quadrimaculatus,GCA_963989225.1,Carabidae,Adephaga,ingroup
Drusilla_canaliculata,Drusilla canaliculata,GCA_965644065.1,Staphylinidae,Staphyliniformia,ingroup
Dynastes_grantii,Dynastes grantii,GCA_029619325.2,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_hercules_hercules,Dynastes hercules hercules,GCA_051939005.1,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_hercules_paschoali,Dynastes hercules paschoali,GCA_051938985.1,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_hercules_reidi,Dynastes hercules reidi,GCA_051939025.1,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_hercules_septentrionalis,Dynastes hercules septentrionalis,GCA_051938965.1,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_hyllus,Dynastes hyllus,GCA_029619255.2,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_maya,Dynastes maya,GCA_029619315.2,Scarabaeidae,Scarabaeiformia,ingroup
Dynastes_tityus,Dynastes tityus,GCA_029618875.2,Scarabaeidae,Scarabaeiformia,ingroup
Eledona_agricola,Eledona agricola,GCA_964023215.2,Tenebrionidae,Cucujiformia,ingroup
Elmis_aenea,Elmis aenea,GCA_947652605.1,Elmidae,Cucujiformia,ingroup
Endomychus_armeniacus,Endomychus armeniacus,GCA_977013105.1,Endomychidae,Cucujiformia,ingroup
Endomychus_coccineus,Endomychus coccineus,GCA_958510875.1,Endomychidae,Cucujiformia,ingroup
Eucryptorrhynchus_brandti,Eucryptorrhynchus brandti,GCA_040894065.1,Curculionidae,Cucujiformia,ingroup
Eucryptorrhynchus_scrobiculatus,Eucryptorrhynchus scrobiculatus,GCA_046736385.1,Curculionidae,Cucujiformia,ingroup
Eulagius_filicornis,Eulagius filicornis,GCA_965643585.1,Mycetophagidae,Cucujiformia,ingroup
Euwallacea_fornicatus,Euwallacea fornicatus,GCF_040115645.1,Curculionidae,Cucujiformia,ingroup
Euwallacea_similis,Euwallacea similis,GCF_039881205.1,Curculionidae,Cucujiformia,ingroup
Galeruca_laticollis,Galeruca laticollis,GCA_963921935.1,Chrysomelidae,Cucujiformia,ingroup
Galerucella_nymphaeae,Galerucella nymphaeae,GCA_963978555.1,Chrysomelidae,Cucujiformia,ingroup
Galerucella_sagittariae,Galerucella sagittariae,GCA_980434365.1,Chrysomelidae,Cucujiformia,ingroup
Gastrophysa_polygoni,Gastrophysa polygoni,GCA_963576655.1,Chrysomelidae,Cucujiformia,ingroup
Gastrophysa_viridula,Gastrophysa viridula,GCA_965641405.1,Chrysomelidae,Cucujiformia,ingroup
Geotrupes_spiniger,Geotrupes spiniger,GCA_959613385.1,Geotrupidae,Scarabaeiformia,ingroup
Gnatocerus_cornutus,Gnatocerus cornutus,GCA_029298725.1,Tenebrionidae,Cucujiformia,ingroup
Gonodera_luperus,Gonodera luperus,GCA_977014565.1,Tenebrionidae,Cucujiformia,ingroup
Graciliella_metohijensis,Graciliella metohijensis,GCA_978019395.1,Leiodidae,Staphyliniformia,ingroup
Grammoptera_ruficornis,Grammoptera ruficornis,GCA_964332215.1,Cerambycidae,Cucujiformia,ingroup
Grypus_equiseti,Grypus equiseti,GCA_964656865.1,Erirhinidae,Cucujiformia,ingroup
Hallomenus_binotatus,Hallomenus binotatus,GCA_965648495.1,Tetratomidae,Cucujiformia,ingroup
Halyzia_sedecimguttata,Halyzia sedecimguttata,GCA_937662695.2,Coccinellidae,Cucujiformia,ingroup
Harmonia_axyridis,Harmonia axyridis,GCF_914767665.1,Coccinellidae,Cucujiformia,ingroup
Harmonia_quadripunctata,Harmonia quadripunctata,GCA_965642415.1,Coccinellidae,Cucujiformia,ingroup
Harpalus_anxius,Harpalus anxius,GCA_965601895.1,Carabidae,Adephaga,ingroup
Harpalus_rubripes,Harpalus rubripes,GCA_963082715.1,Carabidae,Adephaga,ingroup
Harpalus_rufipes,Harpalus rufipes,GCA_951394225.1,Carabidae,Adephaga,ingroup
Hemicrepidius_hirtus,Hemicrepidius hirtus,GCA_963082805.1,Elateridae,Elateriformia,ingroup
Hermaeophaga_mercurialis,Hermaeophaga mercurialis,GCA_951812935.1,Chrysomelidae,Cucujiformia,ingroup
Herpes_porcellus,Herpes porcellus,GCA_981691985.1,Curculionidae,Cucujiformia,ingroup
Hippodamia_convergens,Hippodamia convergens,GCA_038502775.1,Coccinellidae,Cucujiformia,ingroup
Hippodamia_variegata,Hippodamia variegata,GCA_046424425.1,Coccinellidae,Cucujiformia,ingroup
Hololepta_plana,Hololepta plana,GCA_963695495.2,Histeridae,Staphyliniformia,ingroup
Holotrichia_oblita,Holotrichia oblita,GCA_023690525.1,Scarabaeidae,Scarabaeiformia,ingroup
Hycleus_marcipoli,Hycleus marcipoli,GCA_051167335.1,Meloidae,Cucujiformia,ingroup
Hypera_rumicis,Hypera rumicis,GCA_965643735.1,Curculionidae,Cucujiformia,ingroup
Hypothenemus_hampei,Hypothenemus hampei,GCA_041296355.1,Curculionidae,Cucujiformia,ingroup
Ichthyurus_bourgeoisi,Ichthyurus bourgeoisi,GCA_052863015.1,Cantharidae,Elateriformia,ingroup
