species,tip_label,family,order,role,match_level,diploid_number_2n,sex_chromosome_system,meioformula,n_records,diploid_range,notes,citation,source
Abax parallelepipedus,Abax_parallelepipedus,Carabidae,Coleoptera,ingroup,species,35,XO,2n=35M 17+XO,1,,,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",Blackmon_Coleoptera_Karyotype_DB
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Coleoptera,ingroup,none,,,,0,,,,
Acanthacorydalis orientalis,Acanthacorydalis_orientalis,Corydalidae,Megaloptera,outgroup,none,,,,0,,,,
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Coleoptera,ingroup,species,20,XY,2n=20M/2n=20F 9+XY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Actenicerus siaelandicus,Actenicerus_siaelandicus,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Acupalpus dubius,Acupalpus_dubius,Carabidae,Coleoptera,ingroup,genus,22,XY,,3,22;39;45,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Acupalpus parvulus,Acupalpus_parvulus,Carabidae,Coleoptera,ingroup,genus,22,XY,,3,22;39;45,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Adalia bipunctata,Adalia_bipunctata,Coccinellidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,2,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Adalia decempunctata,Adalia_decempunctata,Coccinellidae,Coleoptera,ingroup,genus,20,Xyp,,3,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Adelopsella bosnica,Adelopsella_bosnica,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Aegialia arenaria,Aegialia_arenaria,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aethina tumida,Aethina_tumida,Nitidulidae,Coleoptera,ingroup,none,,,,0,,,,
Agelastica alni,Agelastica_alni,Chrysomelidae,Coleoptera,ingroup,genus,24,Xyr,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agonum fuliginosum,Agonum_fuliginosum,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Agonum gracile,Agonum_gracile,Carabidae,Coleoptera,ingroup,species,35,,2n=35-36M,1,,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Agonum viduum,Agonum_viduum,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,34;35;36;37;39;43,Genus-level: 21 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus biguttatus,Agrilus_biguttatus,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus cyanescens,Agrilus_cyanescens,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus mali,Agrilus_mali,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Coleoptera,ingroup,genus,20,Xyp,,8,20;22,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agriotes ferrugineipennis,Agriotes_ferrugineipennis,Elateridae,Coleoptera,ingroup,genus,19,XO,,4,19;20,Genus-level: 4 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Agriotes lineatus,Agriotes_lineatus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes mancus,Agriotes_mancus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes obscurus,Agriotes_obscurus,Elateridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agriotes sputator,Agriotes_sputator,Elateridae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,"Schneider, Carraro, et al. (2007)",Blackmon_Coleoptera_Karyotype_DB
Agrypnus murinus,Agrypnus_murinus,Elateridae,Coleoptera,ingroup,genus,17,XO,,2,11;17,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aleochara curtula,Aleochara_curtula,Staphylinidae,Coleoptera,ingroup,genus,18,NeoXY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Altica lythri,Altica_lythri,Chrysomelidae,Coleoptera,ingroup,species,24,Xy+,2n=24M 11+Xy+,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Amara aenea,Amara_aenea,Carabidae,Coleoptera,ingroup,species,35,XO,2n=35M 17+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Amara convexiuscula,Amara_convexiuscula,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,20;21;22;24;26;30;32;33;34;35;37;41,Genus-level: 23 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Amara familiaris,Amara_familiaris,Carabidae,Coleoptera,ingroup,species,34,NeoXY,2n=34M 16+NeoXY,2,33;34,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Amara ovata,Amara_ovata,Carabidae,Coleoptera,ingroup,genus,37,XO,,24,20;21;22;24;26;30;32;33;34;35;37;41,Genus-level: 23 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ampedus sanguinolentus,Ampedus_sanguinolentus,Elateridae,Coleoptera,ingroup,genus,19,XO,,9,19;21,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Amphimallon solstitiale,Amphimallon_solstitiale,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anaglyptus mysticus,Anaglyptus_mysticus,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis frontalis,Anaspis_frontalis,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis maculata,Anaspis_maculata,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anaspis regimbarti,Anaspis_regimbarti,Scraptiidae,Coleoptera,ingroup,none,,,,0,,,,
Anisosticta novemdecimpunctata,Anisosticta_novemdecimpunctata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Anobium punctatum,Anobium_punctatum,Ptinidae,Coleoptera,ingroup,none,,,,0,,,,
Anoplophora chinensis,Anoplophora_chinensis,Cerambycidae,Coleoptera,ingroup,species,30,XY,2n=30M 14+XY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Anoplophora glabripennis,Anoplophora_glabripennis,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Ping et al. (2010),Blackmon_Coleoptera_Karyotype_DB
Anoplophora malasiaca,Anoplophora_malasiaca,Cerambycidae,Coleoptera,ingroup,species,30,Xyp,2n=30M 14+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Anthobium unicolor,Anthobium_unicolor,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Anthocomus fasciatus,Anthocomus_fasciatus,Melyridae,Coleoptera,ingroup,none,,,,0,,,,
Anthonomus grandis grandis,Anthonomus_grandis_grandis,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthonomus grandis thurberiae,Anthonomus_grandis_thurberiae,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthonomus rubi,Anthonomus_rubi,Curculionidae,Coleoptera,ingroup,genus,32,Xyp,,15,19;26;28;30;32;34;36;42;43;44,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Anthroherpon ganglbaueri,Anthroherpon_ganglbaueri,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Aphidecta obliterata,Aphidecta_obliterata,Coccinellidae,Coleoptera,ingroup,species,19,XO,2n=19M/2n=20F 9+XO,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Aphodius fimetarius,Aphodius_fimetarius,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Wilson (2001),Blackmon_Coleoptera_Karyotype_DB
Aphodius granarius,Aphodius_granarius,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,43,19;20;22,Genus-level: 43 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aphodius sticticus,Aphodius_sticticus,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Wilson and Angus (2004a),Blackmon_Coleoptera_Karyotype_DB
Aplotarsus incanus,Aplotarsus_incanus,Elateridae,Coleoptera,ingroup,none,,,,0,,,,
Apoderus coryli,Apoderus_coryli,Attelabidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Rozek, Lachowska, Petitpierre, and Holecova (2004)",Blackmon_Coleoptera_Karyotype_DB
Aquatica leii,Aquatica_leii,Lampyridae,Coleoptera,ingroup,none,,,,0,,,,
Arhopalus rusticus,Arhopalus_rusticus,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Aromia moschata,Aromia_moschata,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Aspidapion aeneum,Aspidapion_aeneum,Apionidae,Coleoptera,ingroup,none,,,,0,,,,
Attagenus pellio,Attagenus_pellio,Dermestidae,Coleoptera,ingroup,genus,18,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Aulacophora lewisii,Aulacophora_lewisii,Chrysomelidae,Coleoptera,ingroup,genus,30,XXY,,10,30;57;58;59,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Barypeithes pellucidus,Barypeithes_pellucidus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,2,,,S. Smith and Virkki (1978); Lachowska (2008),Blackmon_Coleoptera_Karyotype_DB
Bathyscidius tristiculus,Bathyscidius_tristiculus,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Batocera lineolata,Batocera_lineolata,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,LiJuan et al. (2013),Blackmon_Coleoptera_Karyotype_DB
Betulapion simile,Betulapion_simile,Apionidae,Coleoptera,ingroup,none,,,,0,,,,
Biphyllus lunatus,Biphyllus_lunatus,Biphyllidae,Coleoptera,ingroup,none,,,,0,,,,
Bitoma crenata,Bitoma_crenata,Zopheridae,Coleoptera,ingroup,none,,,,0,,,,
Blaps rhynchoptera,Blaps_rhynchoptera,Tenebrionidae,Coleoptera,ingroup,genus,36,XXXY,,15,19;21;25;34;35;36;37;38,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Brachynemurus nebulosus,Brachynemurus_nebulosus,Myrmeleontidae,Neuroptera,outgroup,none,,,,0,,,,
Brachypterus glaber,Brachypterus_glaber,Kateretidae,Coleoptera,ingroup,none,,,,0,,,,
Brassicogethes aeneus,Brassicogethes_aeneus,Nitidulidae,Coleoptera,ingroup,none,,,,0,,,,
Brontispa longissima,Brontispa_longissima,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Bruchidius siliquastri,Bruchidius_siliquastri,Chrysomelidae,Coleoptera,ingroup,genus,20,Xyp,,9,20;22,Genus-level: 9 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Bruchidius varius,Bruchidius_varius,Chrysomelidae,Coleoptera,ingroup,genus,20,Xyp,,9,20;22,Genus-level: 9 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Bruchidius villosus,Bruchidius_villosus,Chrysomelidae,Coleoptera,ingroup,genus,20,Xyp,,9,20;22,Genus-level: 9 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Calathus fuscipes,Calathus_fuscipes,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,4,37;39,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Calathus melanocephalus,Calathus_melanocephalus,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,2,37;38,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Coleoptera,ingroup,species,20,XY,2n=19M/2n=20F 9+XO,4,19;20,,"S. Smith and Virkki (1978); R. Angus, Dellow, Winder, and Credland (2011)",Blackmon_Coleoptera_Karyotype_DB
Calodromius spilotus,Calodromius_spilotus,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Calosoma granatense,Calosoma_granatense,Carabidae,Coleoptera,ingroup,genus,28,XY,,7,27;28,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Calosoma tepidum,Calosoma_tepidum,Carabidae,Coleoptera,ingroup,genus,28,XY,,7,27;28,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Calosoma wilkesii,Calosoma_wilkesii,Carabidae,Coleoptera,ingroup,genus,28,XY,,7,27;28,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Calvia quattuordecimguttata,Calvia_quattuordecimguttata,Coccinellidae,Coleoptera,ingroup,genus,20,,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cantharis decipiens,Cantharis_decipiens,Cantharidae,Coleoptera,ingroup,genus,13,XO,,14,13;14;20,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cantharis flavilabris,Cantharis_flavilabris,Cantharidae,Coleoptera,ingroup,genus,13,XO,,14,13;14;20,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cantharis lateralis,Cantharis_lateralis,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Cantharis nigra,Cantharis_nigra,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Cantharis pallida,Cantharis_pallida,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Cantharis rufa,Cantharis_rufa,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Cantharis rustica,Cantharis_rustica,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Canthon chalcites,Canthon_chalcites,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,6,18;20,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Carabus banonii,Carabus_banonii,Carabidae,Coleoptera,ingroup,genus,28,XY,,77,17;25;26;27;28;29,Genus-level: 48 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Coleoptera,ingroup,genus,28,XY,,77,17;25;26;27;28;29,Genus-level: 48 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Carabus esakii,Carabus_esakii,Carabidae,Coleoptera,ingroup,genus,28,XY,,77,17;25;26;27;28;29,Genus-level: 48 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Carabus nemoralis,Carabus_nemoralis,Carabidae,Coleoptera,ingroup,species,28,XO,2n=27M 13+XO,4,27;28;29,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Carabus problematicus,Carabus_problematicus,Carabidae,Coleoptera,ingroup,species,28,XY,2n=28M 13+XY,2,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Carabus staehlini,Carabus_staehlini,Carabidae,Coleoptera,ingroup,genus,28,XY,,77,17;25;26;27;28;29,Genus-level: 48 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cartodere bifasciata,Cartodere_bifasciata,Latridiidae,Coleoptera,ingroup,none,,,,0,,,,
Catharsius molossus,Catharsius_molossus,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,3,,,"Yadav, Pillai, and Karamjeet (1979); S. Smith and Virkki (1978)",Blackmon_Coleoptera_Karyotype_DB
Catops nigricans,Catops_nigricans,Leiodidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cedrorum azoricus,Cedrorum_azoricus,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Cetonia aurata,Cetonia_aurata,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,"Yadav, Pillai, and Karamjeet (1979)",Blackmon_Coleoptera_Karyotype_DB
Ceutorhynchus assimilis,Ceutorhynchus_assimilis,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Ceutorhynchus obstrictus,Ceutorhynchus_obstrictus,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Chaetocnema hortensis,Chaetocnema_hortensis,Chrysomelidae,Coleoptera,ingroup,genus,22,Xyp,,6,20;22;26,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Chrysina gloriosa,Chrysina_gloriosa,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Chrysolina americana,Chrysolina_americana,Chrysomelidae,Coleoptera,ingroup,species,24,Xyp,2n=24M 11+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Chrysolina graminis,Chrysolina_graminis,Chrysomelidae,Coleoptera,ingroup,species,24,Xyp,2n=24M 11+Xyp,1,,,"Rozek, Lachowska, Petitpierre, and Holecova (2004)",Blackmon_Coleoptera_Karyotype_DB
Chrysolina haemoptera,Chrysolina_haemoptera,Chrysomelidae,Coleoptera,ingroup,species,40,Xyp,2n=40M 19+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Chrysolina herbacea,Chrysolina_herbacea,Chrysomelidae,Coleoptera,ingroup,species,24,Xyp,2n=24M 11+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Chrysolina hyperici,Chrysolina_hyperici,Chrysomelidae,Coleoptera,ingroup,genus,24,Xyp,,64,22;23;24;26;30;31;32;36;38;40;41;42;45;46;47,Genus-level: 48 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Chrysolina oricalcia,Chrysolina_oricalcia,Chrysomelidae,Coleoptera,ingroup,species,40,Xyp,2n=40M 19+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Chrysomela aeneicollis,Chrysomela_aeneicollis,Chrysomelidae,Coleoptera,ingroup,genus,34,Xyp,,9,34;35,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Chrysomela populi,Chrysomela_populi,Chrysomelidae,Coleoptera,ingroup,species,34,Xyp,2n=34M 16+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Chrysomela saliceti,Chrysomela_saliceti,Chrysomelidae,Coleoptera,ingroup,genus,34,Xyp,,9,34;35,Genus-level: 7 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Chrysopa pallens,Chrysopa_pallens,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Chrysoperla carnea,Chrysoperla_carnea,Chrysopidae,Neuroptera,outgroup,species_literature,12,XY,,1,,Chrysopidae conserved at 2n=12,"Cabral-de-Mello et al. 2025, Genome",literature_manual
Chrysoperla zastrowi sillemi,Chrysoperla_zastrowi_sillemi,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Cis bilamellatus,Cis_bilamellatus,Ciidae,Coleoptera,ingroup,genus,14,,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Clivina fossor,Clivina_fossor,Carabidae,Coleoptera,ingroup,species,44,XY,2n=44M/2n=44F 21+XY,2,44;46,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Coccidula rufa,Coccidula_rufa,Coccinellidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Beauchamp and Angus (2006),Blackmon_Coleoptera_Karyotype_DB
Coccinella magnifica,Coccinella_magnifica,Coccinellidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Coccinella septempunctata,Coccinella_septempunctata,Coccinellidae,Coleoptera,ingroup,species,20,,2n=20M,1,,,Rozek and Holecova (2001),Blackmon_Coleoptera_Karyotype_DB
Coccinella transversoguttata,Coccinella_transversoguttata,Coccinellidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Coelostoma orbiculare,Coelostoma_orbiculare,Hydrophilidae,Coleoptera,ingroup,species,28,Xy,2n=28�M 13+Xy,1,,,Angus et al (2020),Blackmon_Coleoptera_Karyotype_DB
Colydium elongatum,Colydium_elongatum,Zopheridae,Coleoptera,ingroup,none,,,,0,,,,
Conwentzia psociformis,Conwentzia_psociformis,Coniopterygidae,Neuroptera,outgroup,none,,,,0,,,,
Crepidodera aurata,Crepidodera_aurata,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Crepidodera aurea,Crepidodera_aurea,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Crepidodera fulvicornis,Crepidodera_fulvicornis,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Crioceris asparagi,Crioceris_asparagi,Chrysomelidae,Coleoptera,ingroup,species,16,Xyp,2n=16M 7+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Crudosilis ruficollis,Crudosilis_ruficollis,Cantharidae,Coleoptera,ingroup,none,,,,0,,,,
Cryptocephalus moraei,Cryptocephalus_moraei,Chrysomelidae,Coleoptera,ingroup,species,30,Xyr,2n=30M 14+Xyr,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Cryptocephalus primarius,Cryptocephalus_primarius,Chrysomelidae,Coleoptera,ingroup,species,40,Xyp,2n=40M 19+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Cryptocephalus pusillus,Cryptocephalus_pusillus,Chrysomelidae,Coleoptera,ingroup,genus,30,Xyp,,31,16;24;28;30;32;40,Genus-level: 29 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Cryptolaemus montrouzieri,Cryptolaemus_montrouzieri,Coccinellidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Cryptophagus acutangulus,Cryptophagus_acutangulus,Cryptophagidae,Coleoptera,ingroup,none,,,,0,,,,
