species,tip_label,family,order,role,match_level,diploid_number_2n,sex_chromosome_system,meioformula,n_records,diploid_range,notes,citation,source
Myrrha octodecimguttata,Myrrha_octodecimguttata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Nacerdes melanura,Nacerdes_melanura,Oedemeridae,Coleoptera,ingroup,none,,,,0,,,,
Nadezhdiella cantori,Nadezhdiella_cantori,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Nalassus laevioctostriatus,Nalassus_laevioctostriatus,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nebria brevicollis,Nebria_brevicollis,Carabidae,Coleoptera,ingroup,species,30,,2n=30M,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Nebria salina,Nebria_salina,Carabidae,Coleoptera,ingroup,genus,46,,,11,30;34;38;40;42;46;52,Genus-level: 11 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nedyus quadrimaculatus,Nedyus_quadrimaculatus,Curculionidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Lachowska, Holecova, and Rozek (1998)",Blackmon_Coleoptera_Karyotype_DB
Neocrepidodera transversa,Neocrepidodera_transversa,Chrysomelidae,Coleoptera,ingroup,species,38,Xyp,2n=38M 18+Xyp,1,,,"Rozek, Lachowska, Petitpierre, and Holecova (2004)",Blackmon_Coleoptera_Karyotype_DB
Neoneuromus ignobilis,Neoneuromus_ignobilis,Corydalidae,Megaloptera,outgroup,none,,,,0,,,,
Nicrophorus investigator,Nicrophorus_investigator,Silphidae,Coleoptera,ingroup,genus,13,XO,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Nineta flava,Nineta_flava,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Nothochrysa capitata,Nothochrysa_capitata,Chrysopidae,Neuroptera,outgroup,none,,,,0,,,,
Notiophilus biguttatus,Notiophilus_biguttatus,Carabidae,Coleoptera,ingroup,genus,24,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Notoxus monoceros,Notoxus_monoceros,Anthicidae,Coleoptera,ingroup,genus,18,Xyp,,3,,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Octodonta nipae,Octodonta_nipae,Chrysomelidae,Coleoptera,ingroup,none,,,,0,,,,
Ocypus olens,Ocypus_olens,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Ocys tachysoides,Ocys_tachysoides,Carabidae,Coleoptera,ingroup,none,,,,0,,,,
Odontolabis cuvera,Odontolabis_cuvera,Lucanidae,Coleoptera,ingroup,genus,29,XO,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oedemera lurida,Oedemera_lurida,Oedemeridae,Coleoptera,ingroup,genus,22,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Ontholestes murinus,Ontholestes_murinus,Staphylinidae,Coleoptera,ingroup,genus,26,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus binodis,Onthophagus_binodis,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,50,18;20,Genus-level: 44 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus sagittarius,Onthophagus_sagittarius,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,50,18;20,Genus-level: 44 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Onthophagus taurus,Onthophagus_taurus,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,2,,,"Yadav, Pillai, and Karamjeet (1979); Wilson and Angus (2005a)",Blackmon_Coleoptera_Karyotype_DB
Ophonus ardosiacus,Ophonus_ardosiacus,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Galian (1998),Blackmon_Coleoptera_Karyotype_DB
Ophraella communa,Ophraella_communa,Chrysomelidae,Coleoptera,ingroup,species,34,,2n=34M,1,,,"Petitpierre, Segarra, and Juan (1993)",Blackmon_Coleoptera_Karyotype_DB
Opilo mollis,Opilo_mollis,Cleridae,Coleoptera,ingroup,none,,,,0,,,,
Orchesia undulata,Orchesia_undulata,Melandryidae,Coleoptera,ingroup,none,,,,0,,,,
Orchestes rusci,Orchestes_rusci,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Oryctes borbonicus,Oryctes_borbonicus,Scarabaeidae,Coleoptera,ingroup,genus,18,NeoXY,,4,18;20,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oryctes rhinoceros,Oryctes_rhinoceros,Scarabaeidae,Coleoptera,ingroup,species,18,NeoXY,2n=18M 8+NeoXY,2,18;20,,"Yadav, Pillai, and Karamjeet (1979); A. Dutrillaux, Mamuris, and Dutrillaux (2013)",Blackmon_Coleoptera_Karyotype_DB
Osmylus fulvicephalus,Osmylus_fulvicephalus,Osmylidae,Neuroptera,outgroup,none,,,,0,,,,
Othius punctulatus,Othius_punctulatus,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Otiorhynchus rugosostriatus,Otiorhynchus_rugosostriatus,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,93,20;22;28;29;30;32;33;34;40;43;44;54,Genus-level: 58 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Oxystoma pomonae,Oxystoma_pomonae,Apionidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Pachyrhinus lethierryi,Pachyrhinus_lethierryi,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Pachyrhynchus sulphureomaculatus,Pachyrhynchus_sulphureomaculatus,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Paederus riparius,Paederus_riparius,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Pediacus dermestoides,Pediacus_dermestoides,Cucujidae,Coleoptera,ingroup,none,,,,0,,,,
Phaedon cochleariae,Phaedon_cochleariae,Chrysomelidae,Coleoptera,ingroup,species,34,Xyp,2n=34M 16+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Phaleria cadaverina,Phaleria_cadaverina,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Phanaeus vindex,Phanaeus_vindex,Scarabaeidae,Coleoptera,ingroup,species,12,NeoXY,2n=12M 5+NeoXY,2,,,"Yadav, Pillai, and Karamjeet (1979)",Blackmon_Coleoptera_Karyotype_DB
Philonthus cognatus,Philonthus_cognatus,Staphylinidae,Coleoptera,ingroup,genus,31,Xyp,,5,24;31;36;40;56,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Philonthus spinipes,Philonthus_spinipes,Staphylinidae,Coleoptera,ingroup,genus,31,Xyp,,5,24;31;36;40;56,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Philopedon plagiatum,Philopedon_plagiatum,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Phosphuga atrata,Phosphuga_atrata,Silphidae,Coleoptera,ingroup,species,34,Xyp,2n=34M 16+Xyp,1,,,"Vorontsov, Yadav, Lyapunova, Korablev, and Yani (1984)",Blackmon_Coleoptera_Karyotype_DB
Photinus pyralis,Photinus_pyralis,Lampyridae,Coleoptera,ingroup,species,19,XO,2n=19M 9+XO,1,,,Wasserman and Ehrman (1986),Blackmon_Coleoptera_Karyotype_DB
Phratora vitellinae,Phratora_vitellinae,Chrysomelidae,Coleoptera,ingroup,species,34,Xyp,2n=34M 16+Xyp,1,,,Petitpierre and Mikhailov (2013),Blackmon_Coleoptera_Karyotype_DB
Phyllobius argentatus,Phyllobius_argentatus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,"Lachowska, Holecova, and Rozek (1998)",Blackmon_Coleoptera_Karyotype_DB
Phyllobius pyri,Phyllobius_pyri,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,"Lachowska, Holecova, and Rozek (1998)",Blackmon_Coleoptera_Karyotype_DB
Phyllobius virideaeris,Phyllobius_virideaeris,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,22,22;24,Genus-level: 21 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Phyllotreta cruciferae,Phyllotreta_cruciferae,Chrysomelidae,Coleoptera,ingroup,genus,32,Xyp,,3,30;32,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Phyllotreta striolata,Phyllotreta_striolata,Chrysomelidae,Coleoptera,ingroup,genus,32,Xyp,,3,30;32,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Plagiodera versicolora,Plagiodera_versicolora,Chrysomelidae,Coleoptera,ingroup,species,28,Xyp,2n=28M 13+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Platydracus latebricola,Platydracus_latebricola,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Platypus cylindrus,Platypus_cylindrus,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Platyrhinus resinosus,Platyrhinus_resinosus,Anthribidae,Coleoptera,ingroup,none,,,,0,,,,
Platystomos albinus,Platystomos_albinus,Anthribidae,Coleoptera,ingroup,genus,22,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Podabrus alpinus,Podabrus_alpinus,Cantharidae,Coleoptera,ingroup,none,,,,0,,,,
Podagrica fuscicornis,Podagrica_fuscicornis,Chrysomelidae,Coleoptera,ingroup,species,40,Xyp,2n=40M 19+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Poecilus cupreus,Poecilus_cupreus,Carabidae,Coleoptera,ingroup,species,43,XO,2n=43M 21+XO,2,43;44,,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",Blackmon_Coleoptera_Karyotype_DB
Pogonocherus hispidulus,Pogonocherus_hispidulus,Cerambycidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Polydrusus cervinus,Polydrusus_cervinus,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,16,20;22;30;33,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Polydrusus impressifrons,Polydrusus_impressifrons,Curculionidae,Coleoptera,ingroup,species,20,,2n=20M,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Polydrusus pterygomalis,Polydrusus_pterygomalis,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,16,20;22;30;33,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Polydrusus tereticollis,Polydrusus_tereticollis,Curculionidae,Coleoptera,ingroup,genus,22,Xyp,,16,20;22;30;33,Genus-level: 13 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Popillia japonica,Popillia_japonica,Scarabaeidae,Coleoptera,ingroup,species,18,XY,2n=18M 8+XY,1,,,"Yadav, Pillai, and Karamjeet (1979)",Blackmon_Coleoptera_Karyotype_DB
Prionocyphon serricornis,Prionocyphon_serricornis,Scirtidae,Coleoptera,ingroup,none,,,,0,,,,
Prionychus ater,Prionychus_ater,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Promethis valgipes,Promethis_valgipes,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Propomacrus cypriacus,Propomacrus_cypriacus,Glaphyridae,Coleoptera,ingroup,genus,20,XY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Propylea japonica,Propylea_japonica,Coccinellidae,Coleoptera,ingroup,genus,20,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Propylea quattuordecimpunctata,Propylea_quattuordecimpunctata,Coccinellidae,Coleoptera,ingroup,genus,20,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Prosopocoilus inquinatus,Prosopocoilus_inquinatus,Lucanidae,Coleoptera,ingroup,genus,20,Xyp,,2,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Protaetia brevitarsis,Protaetia_brevitarsis,Scarabaeidae,Coleoptera,ingroup,genus,20,XY,,15,19;20,Genus-level: 12 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Pseudeuparius sepicola,Pseudeuparius_sepicola,Anthribidae,Coleoptera,ingroup,none,,,,0,,,,
Pseudocistela ceramboides,Pseudocistela_ceramboides,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Psylliodes chrysocephalus,Psylliodes_chrysocephalus,Chrysomelidae,Coleoptera,ingroup,species,36,Xyp,2n=36M 17+Xyp,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Pterostichus diligens,Pterostichus_diligens,Carabidae,Coleoptera,ingroup,species,30,XY,2n=30M 14+XY,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Pterostichus madidus,Pterostichus_madidus,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,"Yadav, Lyapunova, Korablev, Baklushiskaya-Yani, and Vorontosov (1991)",Blackmon_Coleoptera_Karyotype_DB
Pterostichus niger,Pterostichus_niger,Carabidae,Coleoptera,ingroup,species,37,XO,2n=37M 18+XO,1,,,Serrano and Yadav (1984),Blackmon_Coleoptera_Karyotype_DB
Pterostichus vernalis,Pterostichus_vernalis,Carabidae,Coleoptera,ingroup,genus,37,XO,,58,28;30;32;34;37;38;46,Genus-level: 51 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Pycnomerus fuliginosus,Pycnomerus_fuliginosus,Zopheridae,Coleoptera,ingroup,none,,,,0,,,,
Pyrochroa serraticornis,Pyrochroa_serraticornis,Pyrochroidae,Coleoptera,ingroup,none,,,,0,,,,
Pyrocoelia pectoralis,Pyrocoelia_pectoralis,Lampyridae,Coleoptera,ingroup,none,,,,0,,,,
Quedius lateralis,Quedius_lateralis,Staphylinidae,Coleoptera,ingroup,genus,33,XO,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Radziella styx,Radziella_styx,Leiodidae,Coleoptera,ingroup,none,,,,0,,,,
Rhagium mordax,Rhagium_mordax,Cerambycidae,Coleoptera,ingroup,species,20,,2n=20F,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Rhagonycha fulva,Rhagonycha_fulva,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Rhagonycha lignosa,Rhagonycha_lignosa,Cantharidae,Coleoptera,ingroup,species,14,,2n=14F,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Rhagonycha lutea,Rhagonycha_lutea,Cantharidae,Coleoptera,ingroup,species,13,XO,2n=13M/2n=14F 6+XO,1,,,James and Angus (2007),Blackmon_Coleoptera_Karyotype_DB
Rhizotrogus aestivus,Rhizotrogus_aestivus,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Rhynchophorus ferrugineus,Rhynchophorus_ferrugineus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Rhyzobius forestieri,Rhyzobius_forestieri,Coccinellidae,Coleoptera,ingroup,genus,16,NeoXY,,3,16;17;18,Genus-level: 3 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Rhyzopertha dominica,Rhyzopertha_dominica,Bostrichidae,Coleoptera,ingroup,none,,,,0,,,,
Rutpela maculata,Rutpela_maculata,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Salpingus planirostris,Salpingus_planirostris,Salpingidae,Coleoptera,ingroup,none,,,,0,,,,
Sambus kanssuensis,Sambus_kanssuensis,Buprestidae,Coleoptera,ingroup,none,,,,0,,,,
Scaphidium quadrimaculatum,Scaphidium_quadrimaculatum,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Scarites abbreviatus,Scarites_abbreviatus,Carabidae,Coleoptera,ingroup,genus,37,XO,,14,15;37;39;41;45;52;53;57;61,Genus-level: 10 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Schizotus pectinicornis,Schizotus_pectinicornis,Pyrochroidae,Coleoptera,ingroup,none,,,,0,,,,
Serangium japonicum,Serangium_japonicum,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Serica brunnea,Serica_brunnea,Scarabaeidae,Coleoptera,ingroup,genus,20,Xyp,,5,,Genus-level: 5 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Serrognathus titanus,Serrognathus_titanus,Lucanidae,Coleoptera,ingroup,none,,,,0,,,,
Sialis fuliginosa,Sialis_fuliginosa,Sialidae,Megaloptera,outgroup,none,,,,0,,,,
Sialis lutaria,Sialis_lutaria,Sialidae,Megaloptera,outgroup,none,,,,0,,,,
Silvanus unidentatus,Silvanus_unidentatus,Silvanidae,Coleoptera,ingroup,none,,,,0,,,,
Sisyphus schaefferi,Sisyphus_schaefferi,Scarabaeidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Sisyra nigra,Sisyra_nigra,Sisyridae,Neuroptera,outgroup,none,,,,0,,,,
Sisyra terminalis,Sisyra_terminalis,Sisyridae,Neuroptera,outgroup,none,,,,0,,,,
Sitona lineatus,Sitona_lineatus,Curculionidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,"Lachowska, Holecova, and Rozek (2004)",Blackmon_Coleoptera_Karyotype_DB
Sitophilus oryzae,Sitophilus_oryzae,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Sitophilus zeamais,Sitophilus_zeamais,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Sphaeridium bipustulatum,Sphaeridium_bipustulatum,Hydrophilidae,Coleoptera,ingroup,species,24,Xyp,2n=24M 11+Xyp,1,,,"R. Angus, Shaarawi, and Wilson (2000)",Blackmon_Coleoptera_Karyotype_DB
Sphaeroderma testaceum,Sphaeroderma_testaceum,Chrysomelidae,Coleoptera,ingroup,species,52,XY,2n=52M 25+XY,1,,,"Petitpierre, Segarra, Yadav, and Virkki (1988)",Blackmon_Coleoptera_Karyotype_DB
Staphylinus erythropterus,Staphylinus_erythropterus,Staphylinidae,Coleoptera,ingroup,genus,44,XY,,2,40;44,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Stenocarus ruficornis,Stenocarus_ruficornis,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Stenolophus ochropezus,Stenolophus_ochropezus,Carabidae,Coleoptera,ingroup,genus,24,XY,,6,24;25;26;36;38,Genus-level: 6 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Stenosis austini,Stenosis_austini,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Stenurella melanura,Stenurella_melanura,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Stenus bimaculatus,Stenus_bimaculatus,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Stictoleptura scutellata,Stictoleptura_scutellata,Cerambycidae,Coleoptera,ingroup,none,,,,0,,,,
Subcoccinella vigintiquattuorpunctata,Subcoccinella_vigintiquattuorpunctata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Tachinus rufipes,Tachinus_rufipes,Staphylinidae,Coleoptera,ingroup,genus,26,XY,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Tachyporus hypnorum,Tachyporus_hypnorum,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Taeniapion urticarium,Taeniapion_urticarium,Apionidae,Coleoptera,ingroup,none,,,,0,,,,
Taphrorychus bicolor,Taphrorychus_bicolor,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Tarphius canariensis,Tarphius_canariensis,Zopheridae,Coleoptera,ingroup,none,,,,0,,,,
Tenebrio molitor,Tenebrio_molitor,Tenebrionidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,3,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Tetraopes melanurus,Tetraopes_melanurus,Cerambycidae,Coleoptera,ingroup,genus,20,XY,,4,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Tetraopes sublaevis,Tetraopes_sublaevis,Cerambycidae,Coleoptera,ingroup,genus,20,XY,,4,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Tetraopes tetrophthalmus,Tetraopes_tetrophthalmus,Cerambycidae,Coleoptera,ingroup,genus,20,XY,,4,,Genus-level: 2 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Tetropium fuscum,Tetropium_fuscum,Cerambycidae,Coleoptera,ingroup,species,22,Xyp,2n=22M 10+Xyp,1,,,S. Smith and Virkki (1978),Blackmon_Coleoptera_Karyotype_DB
Thanatophilus sinuatus,Thanatophilus_sinuatus,Silphidae,Coleoptera,ingroup,species,26,Xyp,2n=26M 12+Xyp,1,,,"Vorontsov, Yadav, Lyapunova, Korablev, and Yani (1984)",Blackmon_Coleoptera_Karyotype_DB
Tillus elongatus,Tillus_elongatus,Cleridae,Coleoptera,ingroup,none,,,,0,,,,
Tomicus yunnanensis,Tomicus_yunnanensis,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Tribolium castaneum,Tribolium_castaneum,Tenebrionidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Tribolium confusum,Tribolium_confusum,Tenebrionidae,Coleoptera,ingroup,species,18,NeoXY,2n=18M 8+NeoXY,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Tribolium freemani,Tribolium_freemani,Tenebrionidae,Coleoptera,ingroup,species,20,Xyp,2n=20M 9+Xyp,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Tribolium madens,Tribolium_madens,Tenebrionidae,Coleoptera,ingroup,species,20,XY,2n=20M 9+XY,1,,,Juan and Petitpierre (1991),Blackmon_Coleoptera_Karyotype_DB
Trigonoscuta pilosa,Trigonoscuta_pilosa,Curculionidae,Coleoptera,ingroup,none,,,,0,,,,
Trypoxylus dichotomus,Trypoxylus_dichotomus,Scarabaeidae,Coleoptera,ingroup,none,,,,0,,,,
Tytthaspis sedecimpunctata,Tytthaspis_sedecimpunctata,Coccinellidae,Coleoptera,ingroup,none,,,,0,,,,
Uleiota planata,Uleiota_planata,Silvanidae,Coleoptera,ingroup,none,,,,0,,,,
Ulomoides dermestoides,Ulomoides_dermestoides,Tenebrionidae,Coleoptera,ingroup,none,,,,0,,,,
Xantholinus longiventris,Xantholinus_longiventris,Staphylinidae,Coleoptera,ingroup,none,,,,0,,,,
Xanthostigma xanthostigma,Xanthostigma_xanthostigma,Raphidiidae,Raphidioptera,outgroup,none,,,,0,,,,
Xestobium rufovillosum,Xestobium_rufovillosum,Ptinidae,Coleoptera,ingroup,none,,,,0,,,,
Xyleborus affinis,Xyleborus_affinis,Curculionidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Xyleborus bispinatus,Xyleborus_bispinatus,Curculionidae,Coleoptera,ingroup,genus,40,,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Zophobas atratus,Zophobas_atratus,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
Zophobas morio,Zophobas_morio,Tenebrionidae,Coleoptera,ingroup,genus,20,Xyp,,1,,Genus-level: 1 congeneric spp in DB,,Blackmon_Coleoptera_Karyotype_DB
