species_name,assembly_accession,bioproject,current_status,risk_level,recommended_action,notes,student_verified,final_status
Abax parallelepipedus,GCA_964197645.1,PRJEB77062,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Abscondita cerata,GCA_030710515.1,PRJNA699421,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Abscondita terminalis,GCA_013368085.1,PRJNA556938,to_verify,LOW,Standard NCBI submission - verify publication,,,
Acanthacorydalis orientalis,GCA_034766995.1,PRJNA1021543,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Acanthoscelides obtectus,GCA_963669975.1,PRJEB69220,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Actenicerus siaelandicus,GCA_964234755.1,PRJEB79055,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Acupalpus dubius,GCA_977071005.1,PRJEB104223,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Acupalpus parvulus,GCA_981690485.1,PRJEB108865,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Adalia bipunctata,GCA_910592335.1,PRJEB45686,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Adalia decempunctata,GCA_951802165.1,PRJEB62627,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Adelopsella bosnica,GCA_977014165.1,PRJEB77392,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Adinopsis sp. GC000173,GCA_030264715.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Adranes taylori,GCA_009867245.2,PRJNA397423,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aegialia arenaria,GCA_978045345.1,PRJEB106972,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aenictocupidus jacobsonorum,GCA_010014765.2,PRJNA397425,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aethina tumida,GCF_024364675.1,PRJNA825637,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agelastica alni,GCA_950111635.2,PRJEB61673,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agonum fuliginosum,GCA_947534325.1,PRJEB58062,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agonum gracile,GCA_982290465.1,PRJEB109968,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agonum viduum,GCA_978021445.1,PRJEB106581,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agrilus biguttatus,GCA_963921985.1,PRJEB71839,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agrilus cyanescens,GCA_947389935.1,PRJEB57759,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agrilus mali,GCA_055682225.1,PRJNA1293793,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agrilus planipennis,GCF_000699045.2,PRJNA230921,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes ferrugineipennis,GCA_044115295.2,PRJNA1137978,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes lineatus,GCA_965788545.1,PRJEB95121,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes mancus,GCA_041228495.2,PRJNA1137982,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes obscurus,GCA_040955315.2,PRJNA1117586,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes pubescens,GCA_044115395.2,PRJNA1137974,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agriotes sputator,GCA_044115325.2,PRJNA1137986,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Agrypnus murinus,GCA_929113105.1,PRJEB50666,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Alaus oculatus,GCA_009852465.2,PRJNA578932,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aleochara bilineata,GCA_003054995.1,PRJNA378164,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aleochara curtula,GCA_963978815.1,PRJEB73701,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aleochara sp. GC000083,GCA_030264555.1,PRJNA764224,to_verify,LOW,Standard NCBI submission - verify publication,,,
Altica lythri,GCA_964028335.1,PRJEB74861,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amara aenea,GCA_973350105.1,PRJEB96435,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amara convexiuscula,GCA_981560045.1,PRJEB108814,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amara familiaris,GCA_978120735.1,PRJEB107155,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amara ovata,GCA_965279835.1,PRJEB89410,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ameromyia strigosa,GCA_055698785.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ampedus sanguinolentus,GCA_964234815.1,PRJEB79085,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amphimallon solstitiale,GCA_963170755.1,PRJEB64917,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Amphistomus primonactus,GCA_033557545.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anaglyptus mysticus,GCA_978041785.1,PRJEB106863,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anaspis frontalis,GCA_964243895.1,PRJEB79335,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anaspis maculata,GCA_949128115.1,PRJEB59498,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anaspis regimbarti,GCA_964204715.1,PRJEB78394,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anaulacaspis nigra,GCA_030264675.1,PRJNA764224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anisosticta novemdecimpunctata,GCA_964188095.1,PRJEB76704,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anobium punctatum,GCA_965643755.1,PRJEB94002,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anoplophora chinensis,GCA_052815205.1,PRJNA1309080,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anoplophora glabripennis,GCA_054644005.1,PRJNA1393341,to_verify,LOW,Likely fine - has RefSeq status,,,
Anoplophora malasiaca,GCA_054644075.1,PRJNA1393341,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anthobium unicolor,GCA_965663565.1,PRJEB94974,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anthocomus fasciatus,GCA_964258815.1,PRJEB79481,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anthonomus grandis grandis,GCF_022605725.1,PRJNA767408,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anthonomus grandis thurberiae,GCA_030068095.1,PRJNA807464,to_verify,LOW,Standard NCBI submission - verify publication,,,
Anthonomus rubi,GCA_050242925.2,PRJNA1153348,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Anthroherpon ganglbaueri,GCA_978045665.1,PRJEB106987,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aphidecta obliterata,GCA_963966015.1,PRJEB72512,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aphodius fimetarius,GCA_964211865.1,PRJEB78531,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aphodius granarius,GCA_963971325.1,PRJEB73495,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aphodius immundus,GCA_032191705.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aphodius sticticus,GCA_963966075.1,PRJEB72519,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aplotarsus incanus,GCA_978018165.1,PRJEB106232,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Apoderus coryli,GCA_911728435.2,PRJEB46626,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aquatica leii,GCA_035610365.1,PRJNA948550,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Araecerus fasciculatus,GCA_050578095.1,PRJNA1031120,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Arhopalus rusticus,GCA_046563155.1,PRJNA953210,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Arhopalus unicolor,GCA_045514315.1,PRJNA1112115,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aromia moschata,GCA_965642075.1,PRJEB92391,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Asbolus verrucosus,GCA_047676225.1,PRJNA1076268,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aspidapion aeneum,GCA_963576565.1,PRJEB68111,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Astagobius angustatus,GCA_965278915.1,PRJEB76282,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Atheta pasadenae,GCA_030264155.1,PRJNA764224,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Attagenus pellio,GCA_978258735.1,PRJEB107203,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Aulacophora lewisii,GCA_051251045.1,PRJNA1195038,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Australeon illustris,GCA_055701115.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga asakurae,GCA_055701175.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga eurysticta,GCA_055701075.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga fallax,GCA_055701155.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga guangxiensis,GCA_055703945.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga inanis,GCA_055701335.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga micans,GCA_055701135.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Baliga sp. B7533-1,GCA_055700975.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Baliga sp. B7533-2,GCA_055701035.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Baliga sp. BALMALAY,GCA_055700015.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Baliga sp. BASPYNP,GCA_055701095.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Baliga sp. BEXZ,GCA_055701235.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Baliga sp. BLSPBOR2,GCA_055699955.1,PRJNA1403738,to_verify,LOW,Standard NCBI submission - verify publication,,,
Barypeithes pellucidus,GCA_963991005.1,PRJEB73828,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bathyscidius tristiculus,GCA_979853965.1,PRJEB77394,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Batocera lineolata,GCA_052815245.1,PRJNA1309302,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Batocera rufomaculata,GCA_050941775.1,PRJNA1209233,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Berosus sp. SLE1611,GCA_033557775.1,PRJNA977672,to_verify,LOW,Standard NCBI submission - verify publication,,,
Betulapion simile,GCA_966183525.1,PRJEB95842,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Biphyllus lunatus,GCA_965194465.1,PRJEB86443,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bitoma crenata,GCA_964656825.2,PRJEB83598,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Blaps rhynchoptera,GCA_042257705.1,PRJNA1040117,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Blemus discus,GCA_050230235.1,PRJNA1237515,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brachynemurus hubbardii,GCA_055699835.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brachynemurus nebulosus,GCA_035578155.1,PRJNA849191,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brachypterus glaber,GCA_958510825.1,PRJEB64398,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brassicogethes aeneus,GCA_921294245.1,PRJEB48953,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Brontispa longissima,GCA_040580785.1,PRJNA1085852,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius siliquastri,GCA_949316355.1,PRJEB60137,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius varius,GCA_964204745.1,PRJEB78407,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Bruchidius villosus,GCA_965643515.1,PRJEB93937,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Caccobius schreberi,GCA_033557405.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calathus fuscipes,GCA_978122415.1,PRJEB107157,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calathus melanocephalus,GCA_966096355.1,PRJEB95786,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calligrapha alni,GCA_046129895.1,PRJNA1153342,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Callosobruchus maculatus,GCA_040182625.1,PRJNA1048654,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calodromius spilotus,GCA_977063495.1,PRJEB103060,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma granatense,GCA_022063505.1,PRJNA706924,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma relictum,GCA_055275695.1,PRJNA1390611,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma tepidum,GCA_044734075.1,PRJNA1160031,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calosoma wilkesii,GCA_044734065.1,PRJNA1160031,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Calvia quattuordecimguttata,GCA_964059645.1,PRJEB76103,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis decipiens,GCA_965642435.1,PRJEB93841,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis flavilabris,GCA_949152465.1,PRJEB59846,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis lateralis,GCA_963170105.1,PRJEB64909,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis nigra,GCA_958510845.1,PRJEB64391,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis pallida,GCA_978407175.1,PRJEB107253,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis rufa,GCA_947369205.1,PRJEB57708,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cantharis rustica,GCA_911387805.1,PRJEB46423,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Canthon chalcites,GCA_054832385.1,PRJNA1304937,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus banonii,GCA_964291765.2,PRJEB77255,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus blaptoides fortunei,GCA_050785175.1,PRJDB5357,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus depressus,GCA_048127345.1,PRJNA1171461,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus esakii,GCA_054785535.1,PRJDB5403,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus nemoralis,GCA_977790985.1,PRJEB104832,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus problematicus,GCA_963422195.1,PRJEB65488,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Carabus staehlini,GCA_977013385.1,PRJEB94624,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cartodere bifasciata,GCA_963920755.1,PRJEB71555,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Catharsius molossus,GCA_051362485.1,PRJNA1265283,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Catops nigricans,GCA_965642125.1,PRJEB92392,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cedrorum azoricus,GCA_965287095.1,PRJEB84164,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Centroclisis negligens,GCA_055698825.1,PRJNA1403738,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cetonia aurata,GCA_949128085.1,PRJEB59502,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ceutorhynchus assimilis,GCA_917834065.1,PRJEB47903,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Ceutorhynchus obstrictus,GCA_965178145.1,PRJEB86217,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chaetocnema hortensis,GCA_965653155.1,PRJEB94557,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysina gloriosa,GCA_038088585.1,PRJNA1043134,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysina resplendens,GCA_010091895.2,PRJNA341359,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina americana,GCA_958502065.1,PRJEB64387,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina graminis,GCA_964197785.1,PRJEB77184,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina haemoptera,GCA_958298965.1,PRJEB64038,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina herbacea,GCA_979300175.1,PRJEB107946,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina hyperici,GCA_982264245.1,PRJEB109775,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysolina oricalcia,GCA_944452925.2,PRJEB53643,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela aeneicollis,GCA_029955515.1,PRJNA941318,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela populi,GCA_965642295.1,PRJEB93767,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysomela saliceti,GCA_965121785.1,PRJEB85414,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysopa pallens,GCA_020423425.1,PRJNA685652,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysoperla carnea,GCF_905475395.1,PRJEB44056,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Chrysoperla zastrowi sillemi,GCA_040669965.1,PRJNA905226,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cis bilamellatus,GCA_977930235.1,PRJEB105253,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Clivina fossor,GCA_963966155.1,PRJEB72557,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccidula rufa,GCA_965178175.1,PRJEB86219,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella magnifica,GCA_965644565.1,PRJEB94210,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella septempunctata,GCF_907165205.1,PRJEB44629,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coccinella transversoguttata,GCA_053478235.1,PRJNA1268667,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coelostoma orbiculare,GCA_979606585.1,PRJEB108172,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Colydium elongatum,GCA_964656385.1,PRJEB83423,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Conwentzia psociformis,GCA_976988905.1,PRJEB98820,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Copris fidius,GCA_032191685.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coproporus ventriculus,GCA_027574865.2,PRJNA342850,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Coptodactyla brooksi,GCA_033557675.1,PRJNA977672,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Cosmopolites sordidus,GCA_031761425.1,PRJNA817621,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
Crepidodera aurata,GCA_965645225.1,PRJEB94310,published_open,LOW,Cite the genome paper,RefSeq/representative genome - published and open,,
