species_name,assembly_accession,ncbi_bioproject,restriction_status,include_recommended
Monochamus sutor,GCA_052757275.1,PRJNA1290528,published_open,yes
Diabrotica virgifera virgifera,GCA_917563875.2,PRJEB47906,published_open,yes
Diabrotica virgifera virgifera,GCF_917563875.1,PRJEB47906,published_open,yes
Aethina tumida,GCA_024364675.1,PRJNA825637,published_open,yes
Aethina tumida,GCF_024364675.1,PRJNA825637,published_open,yes
Coccinella transversoguttata,GCA_053478235.1,PRJNA1268667,published_open,yes
Eucryptorrhynchus scrobiculatus,GCA_046736385.1,PRJNA663363,published_open,yes
Arhopalus unicolor,GCA_045514315.1,PRJNA1112115,published_open,yes
Tribolium freemani,GCA_939628115.1,PRJEB52307,published_open,yes
Agrilus cyanescens,GCA_947389935.1,PRJEB57759,published_open,yes
Monochamus scutellatus,GCA_052862855.1,PRJNA1289024,published_open,yes
Larinus planus,GCA_977012605.1,PRJEB101224,published_open,yes
Distenia gracilis,GCA_055671715.1,PRJNA1366490,published_open,yes
Brassicogethes aeneus,GCA_921294245.1,PRJEB48953,published_open,yes
Tetraopes melanurus,GCA_054850815.1,PRJNA1287481,published_open,yes
Anoplophora malasiaca,GCA_054644075.1,PRJNA1393341,published_open,yes
Phyllotreta cruciferae,GCA_917563865.1,PRJEB47904,published_open,yes
Tetraopes sublaevis,GCA_054850805.1,PRJNA1287481,published_open,yes
Tetraopes tetrophthalmus,GCA_054850835.1,PRJNA1287481,published_open,yes
Platystomos albinus,GCA_964106875.1,PRJEB76113,published_open,yes
Tribolium castaneum,GCA_031307605.1,PRJNA865805,published_open,yes
Tribolium castaneum,GCF_031307605.1,PRJNA865805,published_open,yes
Harmonia axyridis,GCA_914767665.1,PRJEB47373,published_open,yes
Harmonia axyridis,GCF_914767665.1,PRJEB47373,published_open,yes
Tenebrio molitor,GCA_963966145.1,PRJEB72558,published_open,yes
Tenebrio molitor,GCF_963966145.1,PRJEB72558,published_open,yes
Monochamus alternatus,GCA_037114965.1,PRJNA1084890,published_open,yes
Callosobruchus maculatus,GCA_040182625.1,PRJNA1048654,published_open,yes
Ips typographus,GCA_016097725.2,PRJNA671615,published_open,yes
Onthophagus taurus,GCA_036711975.1,PRJNA966962,published_open,yes
Onthophagus taurus,GCF_036711975.1,PRJNA966962,published_open,yes
Trypoxylus dichotomus,GCA_023509865.1,PRJNA688811,published_open,yes
Plagiodera versicolora,GCA_037013635.1,PRJNA1045849,published_open,yes
Dendroctonus frontalis,GCA_040113315.1,PRJNA1100959,published_open,yes
Monolepta hieroglyphica,GCA_045514875.1,PRJNA1171132,published_open,yes
Anthonomus grandis grandis,GCA_022605725.3,PRJNA767408,published_open,yes
Anthonomus grandis grandis,GCF_022605725.1,PRJNA767408,published_open,yes
Hippodamia variegata,GCA_046424425.1,PRJNA1172969,published_open,yes
Coccinella septempunctata,GCA_907165205.1,PRJEB44629,published_open,yes
Coccinella septempunctata,GCF_907165205.1,PRJEB44629,published_open,yes
Euwallacea fornicatus,GCA_040115645.1,PRJNA1086994,published_open,yes
Euwallacea fornicatus,GCF_040115645.1,PRJNA1086994,published_open,yes
Sitophilus zeamais,GCA_047936755.1,PRJNA1208214,published_open,yes
Pogonus chalceus,GCA_002278615.1,PRJNA381601,published_open,no
Adalia bipunctata,GCA_910592335.1,PRJEB45686,published_open,yes
Aquatica leii,GCA_035610365.1,PRJNA948550,published_open,yes
Aleochara curtula,GCA_963978815.1,PRJEB73701,published_open,yes
Gnatocerus cornutus,GCA_029298725.1,PRJNA767424,published_open,yes
Anoplophora chinensis,GCA_052815205.1,PRJNA1309080,published_open,yes
Zophobas atratus,GCA_022388445.1,PRJNA764250,published_open,yes
Dastarcus helophoroides,GCA_028583605.1,PRJNA777352,published_open,yes
Brontispa longissima,GCA_040580785.1,PRJNA1085852,published_open,yes
Monochamus saltuarius,GCA_025584915.1,PRJNA814433,published_open,yes
Poecilus cupreus,GCA_963942605.1,PRJEB72471,published_open,yes
Agrilus mali,GCA_055682225.1,PRJNA1293793,published_open,yes
Rhyzopertha dominica,GCA_055878605.1,PRJNA1330578,published_open,yes
Phyllotreta striolata,GCA_918026865.1,PRJEB47901,published_open,yes
Holotrichia oblita,GCA_023690525.1,PRJNA812706,published_open,yes
Tomicus yunnanensis,GCA_054825155.1,PRJNA1393581,published_open,yes
Protaetia brevitarsis,GCA_051903415.1,PRJNA1286165,published_open,yes
Prosopocoilus inquinatus,GCA_036172665.1,PRJNA1015594,published_open,yes
Diorhabda carinata,GCA_029229535.1,PRJNA788879,published_open,yes
Diorhabda carinulata,GCA_026250575.2,PRJNA788877,published_open,yes
Diorhabda carinulata,GCA_026250575.2,PRJNA788877,to_verify,yes
Diorhabda carinulata,GCF_026250575.1,PRJNA788877,published_open,yes
Rhagonycha fulva,GCA_905340355.1,PRJEB43726,published_open,yes
Latheticus oryzae,GCA_030157265.1,PRJNA767393,published_open,yes
Ips nitidus,GCA_018691245.2,PRJNA722788,published_open,yes
Batocera lineolata,GCA_052815245.1,PRJNA1309302,published_open,yes
Melanotus villosus,GCA_963082815.1,PRJEB64848,published_open,yes
Diorhabda sublineata,GCA_026230105.1,PRJNA767483,published_open,yes
Diorhabda sublineata,GCF_026230105.1,PRJNA767483,published_open,yes
Diorhabda elongata,GCA_026230145.1,PRJNA788886,published_open,yes
Philonthus spinipes,GCA_963082785.1,PRJEB64818,published_open,yes
Ips sexdentatus,GCA_976954535.1,PRJEB98041,published_open,yes
Lagria hirta,GCA_947359425.1,PRJEB57606,published_open,yes
Ophraella communa,GCA_035357415.1,PRJNA899605,published_open,yes
Diabrotica undecimpunctata,GCA_040954645.1,PRJNA1090230,published_open,yes
Diabrotica undecimpunctata,GCF_040954645.1,PRJNA1090230,published_open,yes
Uleiota planata,GCA_965112455.1,PRJEB84218,published_open,yes
Eucryptorrhynchus brandti,GCA_040894065.1,PRJNA663368,published_open,yes
Gastrophysa viridula,GCA_965641405.1,PRJEB91873,published_open,yes
Pyrocoelia pectoralis,GCA_036250285.1,PRJNA1014999,published_open,yes
Liopterus haemorrhoidalis,GCA_963971575.1,PRJEB73544,published_open,yes
Melinopterus prodromus,GCA_964023965.1,PRJEB74734,published_open,yes
Nadezhdiella cantori,GCA_051225655.1,PRJNA1274636,published_open,yes
Octodonta nipae,GCA_034190945.1,PRJNA1016083,published_open,yes
Propylea japonica,GCA_013421045.1,PRJNA498898,published_open,yes
Cetonia aurata,GCA_949128085.1,PRJEB59502,published_open,yes
Arhopalus rusticus,GCA_046563155.1,PRJNA953210,published_open,yes
Megalocaria dilatata,GCA_034642435.1,PRJNA1029341,published_open,yes
Philonthus cognatus,GCA_932526585.2,PRJEB51381,published_open,yes
Adalia decempunctata,GCA_951802165.1,PRJEB62627,published_open,yes
Polydrusus cervinus,GCA_935413205.1,PRJEB51933,published_open,yes
Cantharis rustica,GCA_911387805.1,PRJEB46423,published_open,yes
Promethis valgipes,GCA_054205895.1,PRJNA1308995,published_open,yes
Pterostichus madidus,GCA_911728475.2,PRJEB46627,published_open,yes
Apoderus coryli,GCA_911728435.2,PRJEB46626,published_open,yes
Halyzia sedecimguttata,GCA_937662695.2,PRJEB52234,published_open,yes
Pyrochroa serraticornis,GCA_905333025.2,PRJEB43484,published_open,yes
Pseudeuparius sepicola,GCA_963920635.1,PRJEB71547,published_open,yes
Agonum fuliginosum,GCA_947534325.1,PRJEB58062,published_open,yes
Oxystoma pomonae,GCA_963921995.1,PRJEB71841,published_open,yes
Diaperis boleti,GCA_963583935.1,PRJEB68176,published_open,yes
Agrilus biguttatus,GCA_963921985.1,PRJEB71839,published_open,yes
Cantharis nigra,GCA_958510845.1,PRJEB64391,published_open,yes
Cantharis lateralis,GCA_963170105.1,PRJEB64909,published_open,yes
Cantharis flavilabris,GCA_949152465.1,PRJEB59846,published_open,yes
Cantharis rufa,GCA_947369205.1,PRJEB57708,published_open,yes
Mylabris quadripunctata,GCA_977015545.1,PRJEB94612,published_open,yes
Podabrus alpinus,GCA_932274525.1,PRJEB51187,published_open,yes
Myrrha octodecimguttata,GCA_958510865.1,PRJEB64393,published_open,yes
Cryptocephalus moraei,GCA_946251905.1,PRJEB55436,published_open,yes
Aromia moschata,GCA_965642075.1,PRJEB92391,published_open,yes
Lochmaea capreae,GCA_949126875.1,PRJEB59460,published_open,yes
Dascillus cervinus,GCA_949768715.1,PRJEB60919,published_open,yes
Harpalus rufipes,GCA_951394225.1,PRJEB62060,published_open,yes
Ophonus ardosiacus,GCA_943142095.1,PRJEB52910,published_open,yes
Othius punctulatus,GCA_951805005.1,PRJEB62773,published_open,yes
Leistus spinibarbis,GCA_933228885.1,PRJEB51584,published_open,yes
Rhagonycha lutea,GCA_958510855.1,PRJEB64396,published_open,yes
Geotrupes spiniger,GCA_959613385.1,PRJEB64512,published_open,yes
Bruchidius siliquastri,GCA_949316355.1,PRJEB60137,published_open,yes
Anaspis maculata,GCA_949128115.1,PRJEB59498,published_open,yes
Scaphidium quadrimaculatum,GCA_965282785.1,PRJEB89534,published_open,yes
Galeruca laticollis,GCA_963921935.1,PRJEB71836,published_open,yes
Chrysolina oricalcia,GCA_944452925.2,PRJEB53643,published_open,yes
Harpalus rubripes,GCA_963082715.1,PRJEB64813,published_open,yes
Melolontha melolontha,GCA_935421215.2,PRJEB51927,published_open,yes
Neocrepidodera transversa,GCA_963243735.1,PRJEB65059,published_open,yes
Graciliella metohijensis,GCA_978019395.1,PRJEB77400,published_open,yes
Malachius bipustulatus,GCA_910589415.1,PRJEB45315,published_open,yes
Crioceris asparagi,GCA_958507055.1,PRJEB64385,published_open,yes
Leptura quadrifasciata,GCA_963675555.1,PRJEB69336,published_open,yes
Polydrusus tereticollis,GCA_963920685.1,PRJEB71550,published_open,yes
Curculio caryae,GCA_051047995.1,PRJNA813156,published_open,yes
Amara ovata,GCA_965279835.1,PRJEB89410,published_open,yes
Serica brunnea,GCA_973946265.1,PRJEB96439,published_open,yes
Ceutorhynchus obstrictus,GCA_965178145.1,PRJEB86217,published_open,yes
Hycleus marcipoli,GCA_051167335.1,PRJNA1225931,published_open,yes
Ocypus olens,GCA_910593695.2,PRJEB45833,published_open,yes
Agelastica alni,GCA_950111635.2,PRJEB61673,published_open,yes
Hallomenus binotatus,GCA_965648495.1,PRJEB94374,published_open,yes
Agrypnus murinus,GCA_929113105.1,PRJEB50666,published_open,yes
Agriotes lineatus,GCA_965788545.1,PRJEB95121,published_open,yes
Crepidodera aurea,GCA_949320105.2,PRJEB60253,published_open,yes
Rutpela maculata,GCA_936432065.2,PRJEB52068,published_open,yes
Carabus problematicus,GCA_963422195.1,PRJEB65488,published_open,yes
Sphaeridium bipustulatum,GCA_977013595.1,PRJEB100567,published_open,yes
Chrysolina americana,GCA_958502065.1,PRJEB64387,published_open,yes
Harpalus anxius,GCA_965601895.1,PRJEB90518,published_open,yes
Stenurella melanura,GCA_963583905.1,PRJEB68169,published_open,yes
Amphimallon solstitiale,GCA_963170755.1,PRJEB64917,published_open,yes
Nedyus quadrimaculatus,GCA_977969715.1,PRJEB105448,published_open,yes
Schizotus pectinicornis,GCA_951805265.1,PRJEB62789,published_open,yes
Aspidapion aeneum,GCA_963576565.1,PRJEB68111,published_open,yes
Cartodere bifasciata,GCA_963920755.1,PRJEB71555,published_open,yes
Malthinus flaveolus,GCA_950108345.1,PRJEB61706,published_open,yes
Leonhardella angulicollis,GCA_978019415.1,PRJEB77402,published_open,yes
Leptodirus hochenwartii,GCA_947310635.1,PRJEB57372,published_open,yes
Abax parallelepipedus,GCA_964197645.1,PRJEB77062,published_open,yes
Nebria salina,GCA_944039245.1,PRJEB53510,published_open,yes
Nicrophorus investigator,GCA_963457615.1,PRJEB66142,published_open,yes
Rhagium mordax,GCA_963680705.1,PRJEB70411,published_open,yes
Lochmaea crataegi,GCA_947563755.1,PRJEB58179,published_open,yes
Pterostichus niger,GCA_947425015.1,PRJEB57831,published_open,yes
Gastrophysa polygoni,GCA_963576655.1,PRJEB68118,published_open,yes
Ctenicera cuprea,GCA_958336395.1,PRJEB64316,published_open,yes
Endomychus coccineus,GCA_958510875.1,PRJEB64394,published_open,yes
Nebria brevicollis,GCA_944738965.1,PRJEB53866,published_open,yes
Platypus cylindrus,GCA_949748235.1,PRJEB60808,published_open,yes
Adelopsella bosnica,GCA_977014165.1,PRJEB77392,published_open,yes
Chrysolina haemoptera,GCA_958298965.1,PRJEB64038,published_open,yes
Phosphuga atrata,GCA_944588485.1,PRJEB53719,published_open,yes
Hololepta plana,GCA_963695495.2,PRJEB70901,published_open,yes
Salpingus planirostris,GCA_949788335.1,PRJEB61168,published_open,yes
Phaedon cochleariae,GCA_979016925.1,PRJEB107948,published_open,yes
Cryptocephalus primarius,GCA_963576515.1,PRJEB68110,published_open,yes
Dorcus parallelipipedus,GCA_958336345.1,PRJEB64318,published_open,yes
Hermaeophaga mercurialis,GCA_951812935.1,PRJEB63008,published_open,yes
Orchestes rusci,GCA_958502075.1,PRJEB64389,published_open,yes
Taphrorychus bicolor,GCA_951812265.1,PRJEB62903,published_open,yes
Bathyscidius tristiculus,GCA_979853965.1,PRJEB77394,published_open,yes
Chrysomela populi,GCA_965642295.1,PRJEB93767,published_open,yes
Anthroherpon ganglbaueri,GCA_978045665.1,PRJEB106987,published_open,yes
Elmis aenea,GCA_947652605.1,PRJEB58378,published_open,yes
Cryptophagus acutangulus,GCA_963556235.1,PRJEB67290,published_open,yes
Hippodamia convergens,GCA_038502775.1,PRJNA1017495,published_open,yes
Drusilla canaliculata,GCA_965644065.1,PRJEB94098,published_open,yes
Pachyrhynchus sulphureomaculatus,GCA_019049505.1,PRJNA731935,published_open,yes
Aulacophora lewisii,GCA_051251045.1,PRJNA1195038,published_open,yes
Brachypterus glaber,GCA_958510825.1,PRJEB64398,published_open,yes
Onthophagus binodis,GCA_054643895.1,PRJNA1308620,published_open,yes
Catharsius molossus,GCA_051362485.1,PRJNA1265283,published_open,yes
Larinus ursus,GCA_979861375.2,PRJEB89504,published_open,yes
Ichthyurus bourgeoisi,GCA_052863015.1,PRJNA1308319,published_open,yes
Nacerdes melanura,GCA_965279825.1,PRJEB89413,published_open,yes
Serrognathus titanus,GCA_039766575.1,PRJNA1100426,published_open,yes
Phyllobius pyri,GCA_980746795.1,PRJEB108506,published_open,yes
Attagenus pellio,GCA_978258735.1,PRJEB107203,published_open,yes
Propomacrus cypriacus,GCA_977019095.1,PRJEB90650,published_open,yes
Liophloeus tessulatus,GCA_978021545.1,PRJEB106583,published_open,yes
Laparocerus anagae,GCA_976997085.1,PRJEB98920,published_open,yes
Dromius quadrimaculatus,GCA_963989225.1,PRJEB73740,published_open,yes
Stenocarus ruficornis,GCA_977017535.1,PRJEB101941,published_open,yes
Kibakoganea sinica,GCA_043790905.1,PRJNA1120644,published_open,yes
Dendarus foraminosus,GCA_965152765.1,PRJEB77266,published_open,yes
Polydrusus impressifrons,GCA_977013515.1,PRJEB100632,published_open,yes
Polydrusus pterygomalis,GCA_963969555.1,PRJEB73302,published_open,yes
Propylea quattuordecimpunctata,GCA_976925235.1,PRJEB97233,published_open,yes
Sisyphus schaefferi,GCA_977862225.1,PRJEB94609,published_open,yes
Aplotarsus incanus,GCA_978018165.1,PRJEB106232,published_open,yes
Odontolabis cuvera,GCA_049462965.1,PRJNA1201744,published_open,yes
Anisosticta novemdecimpunctata,GCA_964188095.1,PRJEB76704,published_open,yes
Stenosis austini,GCA_976980505.1,PRJEB91067,published_open,yes
Mononychus punctumalbum,GCA_977066395.1,PRJEB103978,published_open,yes
Tarphius canariensis,GCA_964277315.1,PRJEB81330,published_open,yes
Morimus orientalis,GCA_976714775.1,PRJEB96521,published_open,yes
Calvia quattuordecimguttata,GCA_964059645.1,PRJEB76103,published_open,yes
Mylabris sibirica,GCA_039776855.1,PRJNA1100439,published_open,yes
Otiorhynchus rugosostriatus,GCA_982191755.1,PRJEB109071,published_open,yes
Acupalpus parvulus,GCA_981690485.1,PRJEB108865,published_open,yes
Morimus asper,GCA_977013095.1,PRJEB94603,published_open,yes
Barypeithes pellucidus,GCA_963991005.1,PRJEB73828,published_open,yes
Ulomoides dermestoides,GCA_040954815.1,PRJNA1135335,published_open,yes
Tachinus rufipes,GCA_963932245.1,PRJEB72339,published_open,yes
Blaps rhynchoptera,GCA_042257705.1,PRJNA1040117,published_open,yes
Cynaeus angustus,GCA_030157275.1,PRJNA767403,published_open,yes
Chrysolina hyperici,GCA_982264245.1,PRJEB109775,published_open,yes
Serangium japonicum,GCA_040543525.2,PRJNA957052,published_open,yes
Hypera rumicis,GCA_965643735.1,PRJEB94005,published_open,yes
Cedrorum azoricus,GCA_965287095.1,PRJEB84164,published_open,yes
Stictoleptura scutellata,GCA_964212005.1,PRJEB78590,published_open,yes
Biphyllus lunatus,GCA_965194465.1,PRJEB86443,published_open,yes
Dalopius marginatus,GCA_965112895.1,PRJEB84404,published_open,yes
Amara familiaris,GCA_978120735.1,PRJEB107155,published_open,yes
Calodromius spilotus,GCA_977063495.1,PRJEB103060,published_open,yes
Tytthaspis sedecimpunctata,GCA_977970285.1,PRJEB105664,published_open,yes
Sitona lineatus,GCA_964263205.1,PRJEB79950,published_open,yes
Aegialia arenaria,GCA_978045345.1,PRJEB106972,published_open,yes
Herpes porcellus,GCA_981691985.1,PRJEB108880,published_open,yes
Anthocomus fasciatus,GCA_964258815.1,PRJEB79481,published_open,yes
Pachyrhinus lethierryi,GCA_965118235.1,PRJEB85256,published_open,yes
Denticollis linearis,GCA_964205235.1,PRJEB78455,published_open,yes
Pogonocherus hispidulus,GCA_963924545.1,PRJEB72078,published_open,yes
Malthodes marginatus,GCA_965119235.1,PRJEB85282,published_open,yes
Rhagonycha lignosa,GCA_965212295.1,PRJEB87035,published_open,yes
Harmonia quadripunctata,GCA_965642415.1,PRJEB93843,published_open,yes
Hemicrepidius hirtus,GCA_963082805.1,PRJEB64845,published_open,yes
Pycnomerus fuliginosus,GCA_963924575.1,PRJEB72072,published_open,yes
Cantharis pallida,GCA_978407175.1,PRJEB107253,published_open,yes
Carabus banonii,GCA_964291765.2,PRJEB77255,published_open,yes
Coccinella magnifica,GCA_965644565.1,PRJEB94210,published_open,yes
Laccobius striatulus,GCA_965654275.1,PRJEB94828,published_open,yes
Xestobium rufovillosum,GCA_963966045.2,PRJEB72516,published_open,yes
Subcoccinella vigintiquattuorpunctata,GCA_965783985.1,PRJEB95123,published_open,yes
Longitarsus dorsalis,GCA_965178105.1,PRJEB86221,published_open,yes
Anaglyptus mysticus,GCA_978041785.1,PRJEB106863,published_open,yes
Megatoma undata,GCA_965643495.1,PRJEB93942,published_open,yes
Galerucella sagittariae,GCA_980434365.1,PRJEB108406,published_open,yes
Anaspis regimbarti,GCA_964204715.1,PRJEB78394,published_open,yes
Grammoptera ruficornis,GCA_964332215.1,PRJEB82218,published_open,yes
Ampedus sanguinolentus,GCA_964234815.1,PRJEB79085,published_open,yes
Galerucella nymphaeae,GCA_963978555.1,PRJEB73618,published_open,yes
Phyllobius virideaeris,GCA_965643005.1,PRJEB93899,published_open,yes
Limonius poneli,GCA_965119595.1,PRJEB85520,published_open,yes
Calathus fuscipes,GCA_978122415.1,PRJEB107157,published_open,yes
Coccidula rufa,GCA_965178175.1,PRJEB86219,published_open,yes
Actenicerus siaelandicus,GCA_964234755.1,PRJEB79055,published_open,yes
Amara aenea,GCA_973350105.1,PRJEB96435,published_open,yes
Cryptorhynchus lapathi,GCA_965641385.1,PRJEB91872,published_open,yes
Carabus staehlini,GCA_977013385.1,PRJEB94624,published_open,yes
Thanatophilus sinuatus,GCA_051122355.1,PRJNA1195369,published_open,yes
Staphylinus erythropterus,GCA_964211955.1,PRJEB78587,published_open,yes
Kibakoganea tamdaoensis,GCA_046237675.1,PRJNA1188715,published_open,yes
Quedius lateralis,GCA_964338995.1,PRJEB82339,published_open,yes
Phratora vitellinae,GCA_977071015.1,PRJEB104225,published_open,yes
Platyrhinus resinosus,GCA_977061565.1,PRJEB102770,published_open,yes
Prionocyphon serricornis,GCA_965648515.1,PRJEB94376,published_open,yes
Pediacus dermestoides,GCA_963942485.1,PRJEB72467,published_open,yes
Leiosoma deflexum,GCA_965260835.1,PRJEB88798,published_open,yes
Bitoma crenata,GCA_964656825.2,PRJEB83598,published_open,yes
