species_name,tip_label,family,clade,srr_accession,sex,tissue,tissue_norm,spots,layout,ena_url_r1,ena_url_r2,species_dir,est_gb,category
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897470,male,Adult,whole_body,26686479,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/000/SRR9897470/SRR9897470_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/000/SRR9897470/SRR9897470_2.fastq.gz,Abscondita_terminalis,2.2,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897472,male,Adult,whole_body,19883173,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/002/SRR9897472/SRR9897472_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/002/SRR9897472/SRR9897472_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897501,male,Adult,whole_body,19444696,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/001/SRR9897501/SRR9897501_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/001/SRR9897501/SRR9897501_2.fastq.gz,Abscondita_terminalis,1.6,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897469,female,Adult,whole_body,23940563,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/009/SRR9897469/SRR9897469_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/009/SRR9897469/SRR9897469_2.fastq.gz,Abscondita_terminalis,2.0,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897473,female,Adult,whole_body,19792559,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/003/SRR9897473/SRR9897473_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/003/SRR9897473/SRR9897473_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Abscondita terminalis,Abscondita_terminalis,Lampyridae,Elateriformia,SRR9897475,female,Adult,whole_body,19685688,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/005/SRR9897475/SRR9897475_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR989/005/SRR9897475/SRR9897475_2.fastq.gz,Abscondita_terminalis,1.7,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881593,male,abdomen,abdomen,21546234,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881593/SRR7881593_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881593/SRR7881593_2.fastq.gz,Acanthoscelides_obtectus,1.8,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881630,male,abdomen,abdomen,21442554,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/000/SRR7881630/SRR7881630_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/000/SRR7881630/SRR7881630_2.fastq.gz,Acanthoscelides_obtectus,1.8,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881595,male,abdomen,abdomen,16350773,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/005/SRR7881595/SRR7881595_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/005/SRR7881595/SRR7881595_2.fastq.gz,Acanthoscelides_obtectus,1.4,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881591,female,abdomen,abdomen,22762917,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/001/SRR7881591/SRR7881591_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/001/SRR7881591/SRR7881591_2.fastq.gz,Acanthoscelides_obtectus,1.9,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881623,female,abdomen,abdomen,22632129,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881623/SRR7881623_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/003/SRR7881623/SRR7881623_2.fastq.gz,Acanthoscelides_obtectus,1.9,both_sex
Acanthoscelides obtectus,Acanthoscelides_obtectus,Chrysomelidae,Cucujiformia,SRR7881636,female,abdomen,abdomen,17602037,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/006/SRR7881636/SRR7881636_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR788/006/SRR7881636/SRR7881636_2.fastq.gz,Acanthoscelides_obtectus,1.5,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721316,male,Male antennae,antenna,31697394,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/016/SRR12721316/SRR12721316_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/016/SRR12721316/SRR12721316_2.fastq.gz,Aethina_tumida,2.7,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721315,male,Male antennae,antenna,30592242,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12721315/SRR12721315_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/015/SRR12721315/SRR12721315_2.fastq.gz,Aethina_tumida,2.6,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721314,male,Male antennae,antenna,28426258,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12721314/SRR12721314_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/014/SRR12721314/SRR12721314_2.fastq.gz,Aethina_tumida,2.4,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721317,female,Female antennae,antenna,33553299,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12721317/SRR12721317_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/017/SRR12721317/SRR12721317_2.fastq.gz,Aethina_tumida,2.8,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721320,female,Female antennae,antenna,30479876,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12721320/SRR12721320_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/020/SRR12721320/SRR12721320_2.fastq.gz,Aethina_tumida,2.6,both_sex
Aethina tumida,Aethina_tumida,Nitidulidae,Cucujiformia,SRR12721321,female,Female antennae,antenna,27217076,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12721321/SRR12721321_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR127/021/SRR12721321/SRR12721321_2.fastq.gz,Aethina_tumida,2.3,both_sex
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Elateriformia,SRR1791269,male,whole organism,whole_body,50082921,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/009/SRR1791269/SRR1791269_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/009/SRR1791269/SRR1791269_2.fastq.gz,Agrilus_planipennis,4.2,both_sex
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Elateriformia,SRR1615254,female,Entire body,whole_body,95813260,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1615254/SRR1615254_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/004/SRR1615254/SRR1615254_2.fastq.gz,Agrilus_planipennis,8.0,both_sex
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Elateriformia,SRR1604813,female,Entire body,whole_body,78333353,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/003/SRR1604813/SRR1604813_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/003/SRR1604813/SRR1604813_2.fastq.gz,Agrilus_planipennis,6.6,both_sex
Agrilus planipennis,Agrilus_planipennis,Buprestidae,Elateriformia,SRR1609311,female,Entire body,whole_body,71653629,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/001/SRR1609311/SRR1609311_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR160/001/SRR1609311/SRR1609311_2.fastq.gz,Agrilus_planipennis,6.0,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851268,male,whole beetle,whole_body,56189630,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/068/SRR29851268/SRR29851268_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/068/SRR29851268/SRR29851268_2.fastq.gz,Altica_lythri,4.7,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851263,male,whole beetle,whole_body,49233470,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/063/SRR29851263/SRR29851263_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/063/SRR29851263/SRR29851263_2.fastq.gz,Altica_lythri,4.1,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851271,male,whole beetle,whole_body,42324941,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/071/SRR29851271/SRR29851271_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/071/SRR29851271/SRR29851271_2.fastq.gz,Altica_lythri,3.6,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851264,female,whole beetle,whole_body,46079836,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/064/SRR29851264/SRR29851264_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/064/SRR29851264/SRR29851264_2.fastq.gz,Altica_lythri,3.9,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851267,female,whole beetle,whole_body,41136574,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/067/SRR29851267/SRR29851267_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/067/SRR29851267/SRR29851267_2.fastq.gz,Altica_lythri,3.5,both_sex
Altica lythri,Altica_lythri,Chrysomelidae,Cucujiformia,SRR29851272,female,whole beetle,whole_body,38191461,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/072/SRR29851272/SRR29851272_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/072/SRR29851272/SRR29851272_2.fastq.gz,Altica_lythri,3.2,both_sex
Anoplophora glabripennis,Anoplophora_glabripennis,Cerambycidae,Cucujiformia,SRR1799852,male,whole organism,whole_body,33265245,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/002/SRR1799852/SRR1799852_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/002/SRR1799852/SRR1799852_2.fastq.gz,Anoplophora_glabripennis,2.8,both_sex
Anoplophora glabripennis,Anoplophora_glabripennis,Cerambycidae,Cucujiformia,SRR1799851,female,whole organism,whole_body,30041447,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/001/SRR1799851/SRR1799851_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR179/001/SRR1799851/SRR1799851_2.fastq.gz,Anoplophora_glabripennis,2.5,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831636,male,complete insect,whole_body,25544690,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/036/SRR30831636/SRR30831636_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/036/SRR30831636/SRR30831636_2.fastq.gz,Arhopalus_unicolor,2.1,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831637,male,complete insect,whole_body,23897145,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/037/SRR30831637/SRR30831637_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/037/SRR30831637/SRR30831637_2.fastq.gz,Arhopalus_unicolor,2.0,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831635,male,complete insect,whole_body,21764294,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30831635/SRR30831635_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/035/SRR30831635/SRR30831635_2.fastq.gz,Arhopalus_unicolor,1.8,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831639,female,complete insect,whole_body,23045206,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/039/SRR30831639/SRR30831639_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/039/SRR30831639/SRR30831639_2.fastq.gz,Arhopalus_unicolor,1.9,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831640,female,complete insect,whole_body,21024039,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/040/SRR30831640/SRR30831640_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/040/SRR30831640/SRR30831640_2.fastq.gz,Arhopalus_unicolor,1.8,both_sex
Arhopalus unicolor,Arhopalus_unicolor,Cerambycidae,Cucujiformia,SRR30831638,female,complete insect,whole_body,17786002,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/038/SRR30831638/SRR30831638_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/038/SRR30831638/SRR30831638_2.fastq.gz,Arhopalus_unicolor,1.5,both_sex
Brontispa longissima,Brontispa_longissima,Chrysomelidae,Cucujiformia,SRR3717813,male,antenna,antenna,23378663,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/003/SRR3717813/SRR3717813_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/003/SRR3717813/SRR3717813_2.fastq.gz,Brontispa_longissima,2.0,both_sex
Brontispa longissima,Brontispa_longissima,Chrysomelidae,Cucujiformia,SRR3717803,female,antenna,antenna,23631550,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/003/SRR3717803/SRR3717803_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR371/003/SRR3717803/SRR3717803_2.fastq.gz,Brontispa_longissima,2.0,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133366,male,whole body,whole_body,122399281,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/066/SRR31133366/SRR31133366_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/066/SRR31133366/SRR31133366_2.fastq.gz,Callosobruchus_maculatus,10.3,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133361,male,whole body,whole_body,102553369,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/061/SRR31133361/SRR31133361_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/061/SRR31133361/SRR31133361_2.fastq.gz,Callosobruchus_maculatus,8.6,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133370,male,whole body,whole_body,95579118,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/070/SRR31133370/SRR31133370_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/070/SRR31133370/SRR31133370_2.fastq.gz,Callosobruchus_maculatus,8.0,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133369,female,whole body,whole_body,99882103,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/069/SRR31133369/SRR31133369_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/069/SRR31133369/SRR31133369_2.fastq.gz,Callosobruchus_maculatus,8.4,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133371,female,whole body,whole_body,99183395,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/071/SRR31133371/SRR31133371_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/071/SRR31133371/SRR31133371_2.fastq.gz,Callosobruchus_maculatus,8.3,both_sex
Callosobruchus maculatus,Callosobruchus_maculatus,Chrysomelidae,Cucujiformia,SRR31133382,female,whole body,whole_body,95190459,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/082/SRR31133382/SRR31133382_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/082/SRR31133382/SRR31133382_2.fastq.gz,Callosobruchus_maculatus,8.0,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419077,male,whole body,whole_body,12696635,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419077/DRR419077_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419077/DRR419077_2.fastq.gz,Carabus_blaptoides_fortunei,1.1,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419075,male,whole body,whole_body,11165228,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419075/DRR419075_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419075/DRR419075_2.fastq.gz,Carabus_blaptoides_fortunei,0.9,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419073,male,whole body,whole_body,8259885,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419073/DRR419073_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419073/DRR419073_2.fastq.gz,Carabus_blaptoides_fortunei,0.7,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419076,female,whole body,whole_body,13207442,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419076/DRR419076_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419076/DRR419076_2.fastq.gz,Carabus_blaptoides_fortunei,1.1,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419078,female,whole body,whole_body,10957705,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419078/DRR419078_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419078/DRR419078_2.fastq.gz,Carabus_blaptoides_fortunei,0.9,both_sex
Carabus blaptoides fortunei,Carabus_blaptoides_fortunei,Carabidae,Adephaga,DRR419074,female,whole body,whole_body,8350325,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419074/DRR419074_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR419/DRR419074/DRR419074_2.fastq.gz,Carabus_blaptoides_fortunei,0.7,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345722,male,,unspecified,19936823,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345722/DRR345722_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345722/DRR345722_2.fastq.gz,Carabus_esakii,1.7,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345727,male,,unspecified,15116804,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345727/DRR345727_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345727/DRR345727_2.fastq.gz,Carabus_esakii,1.3,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345721,male,,unspecified,14100144,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345721/DRR345721_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345721/DRR345721_2.fastq.gz,Carabus_esakii,1.2,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345725,female,,unspecified,27071470,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345725/DRR345725_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345725/DRR345725_2.fastq.gz,Carabus_esakii,2.3,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345729,female,,unspecified,18705944,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345729/DRR345729_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345729/DRR345729_2.fastq.gz,Carabus_esakii,1.6,both_sex
Carabus esakii,Carabus_esakii,Carabidae,Adephaga,DRR345730,female,,unspecified,17364818,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345730/DRR345730_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR345/DRR345730/DRR345730_2.fastq.gz,Carabus_esakii,1.5,both_sex
Chrysomela aeneicollis,Chrysomela_aeneicollis,Chrysomelidae,Cucujiformia,SRR24606526,male,whole body,whole_body,32185443,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/026/SRR24606526/SRR24606526_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/026/SRR24606526/SRR24606526_2.fastq.gz,Chrysomela_aeneicollis,2.7,both_sex
Chrysomela aeneicollis,Chrysomela_aeneicollis,Chrysomelidae,Cucujiformia,SRR24606470,male,whole body,whole_body,29204175,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/070/SRR24606470/SRR24606470_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/070/SRR24606470/SRR24606470_2.fastq.gz,Chrysomela_aeneicollis,2.5,both_sex
Chrysomela aeneicollis,Chrysomela_aeneicollis,Chrysomelidae,Cucujiformia,SRR24606514,male,whole body,whole_body,28778874,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/014/SRR24606514/SRR24606514_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/014/SRR24606514/SRR24606514_2.fastq.gz,Chrysomela_aeneicollis,2.4,both_sex
